SubjectID,block,width,p
GC1015,100.000000,0.100000,-7.412020
GC1015,300.000000,0.100000,-3.177009
GC1015,100.000000,0.100000,-0.714983
GC1015,300.000000,0.100000,-2.146327
GC1015,100.000000,0.100000,-0.401260
GC1015,300.000000,0.100000,-14.985917
GC1015,100.000000,0.100000,-0.439216
GC1015,300.000000,0.100000,-0.217483
GC1015,100.000000,0.100000,-14.130722
GC1015,300.000000,0.100000,-1.510950
GC1015,100.000000,0.100000,-0.534222
GC1015,300.000000,0.100000,-3.391487
GC1015,100.000000,0.100000,-1.607912
GC1015,300.000000,0.100000,-1.022004
GC1015,100.000000,0.100000,-5.618830
GC1015,300.000000,0.100000,-1.645895
GC1015,100.000000,0.100000,-0.866523
GC1015,300.000000,0.100000,-1.562596
GC1015,100.000000,0.100000,-1.518921
GC1015,300.000000,0.100000,-0.443450
