SubjectID,block,width,p
GC1098,100.000000,0.000000,-6.551880
GC1098,300.000000,0.000000,-8.330041
GC1098,100.000000,0.000000,-8.173704
GC1098,300.000000,0.000000,-7.261946
GC1098,100.000000,0.000000,-7.330188
GC1098,300.000000,0.000000,-7.406898
GC1098,100.000000,0.000000,-7.143276
GC1098,300.000000,0.000000,-6.968681
GC1098,100.000000,0.000000,-6.022930
GC1098,300.000000,0.000000,-7.664112
GC1098,100.000000,0.000000,-7.230827
GC1098,300.000000,0.000000,-8.197863
GC1098,100.000000,0.000000,-7.417461
GC1098,300.000000,0.000000,-8.694566
GC1098,100.000000,0.000000,-6.383802
GC1098,300.000000,0.000000,-8.121334
GC1098,100.000000,0.000000,-6.070272
GC1098,300.000000,0.000000,-7.659279
GC1098,100.000000,0.000000,-7.935964
GC1098,300.000000,0.000000,-7.395913
