SubjectID,block,width,p
HB280,100.000000,0.250000,-6.503210
HB280,300.000000,0.250000,-1.739903
HB280,100.000000,0.250000,-3.119065
HB280,300.000000,0.250000,-4.635574
HB280,100.000000,0.250000,-4.357496
HB280,300.000000,0.250000,-1.309539
HB280,100.000000,0.250000,-1.469366
HB280,300.000000,0.250000,-10.307520
HB280,100.000000,0.250000,-3.924231
HB280,300.000000,0.250000,-7.199997
HB280,100.000000,0.250000,-1.785487
HB280,300.000000,0.250000,-1.513773
HB280,100.000000,0.250000,-3.252175
HB280,300.000000,0.250000,-3.295143
HB280,100.000000,0.250000,-10.192594
HB280,300.000000,0.250000,-2.702730
HB280,100.000000,0.250000,-9.035868
HB280,300.000000,0.250000,-8.790031
HB280,100.000000,0.250000,-3.104634
HB280,300.000000,0.250000,-1.558617
