SubjectID,block,width,p
HC1025,100.000000,0.050000,-2.702428
HC1025,300.000000,0.050000,-4.925998
HC1025,100.000000,0.050000,-5.252069
HC1025,300.000000,0.050000,-5.763150
HC1025,100.000000,0.050000,-2.003101
HC1025,300.000000,0.050000,-1.293544
HC1025,100.000000,0.050000,-5.917107
HC1025,300.000000,0.050000,-3.873878
HC1025,100.000000,0.050000,-2.520378
HC1025,300.000000,0.050000,-6.907053
HC1025,100.000000,0.050000,-9.013713
HC1025,300.000000,0.050000,-4.336090
HC1025,100.000000,0.050000,-10.165857
HC1025,300.000000,0.050000,-1.395023
HC1025,100.000000,0.050000,-3.875922
HC1025,300.000000,0.050000,-4.318968
HC1025,100.000000,0.050000,-4.687987
HC1025,300.000000,0.050000,-1.437493
HC1025,100.000000,0.050000,-6.096160
HC1025,300.000000,0.050000,-3.681804
