SubjectID,block,width,p
HC1102,100.000000,0.000000,-6.835745
HC1102,300.000000,0.000000,-7.307015
HC1102,100.000000,0.000000,-8.222690
HC1102,300.000000,0.000000,-7.226988
HC1102,100.000000,0.000000,-7.169916
HC1102,300.000000,0.000000,-10.112643
HC1102,100.000000,0.000000,-8.665026
HC1102,300.000000,0.000000,-5.724665
HC1102,100.000000,0.000000,-7.218077
HC1102,300.000000,0.000000,-7.342691
HC1102,100.000000,0.000000,-7.230235
HC1102,300.000000,0.000000,-7.020479
HC1102,100.000000,0.000000,-6.259586
HC1102,300.000000,0.000000,-6.147728
HC1102,100.000000,0.000000,-7.467824
HC1102,300.000000,0.000000,-7.175696
HC1102,100.000000,0.000000,-8.599794
HC1102,300.000000,0.000000,-6.296278
HC1102,100.000000,0.000000,-7.628985
HC1102,300.000000,0.000000,-6.743238
