SubjectID,block,width,p
IB217,100.000000,0.250000,-0.980535
IB217,300.000000,0.250000,-0.244194
IB217,100.000000,0.250000,-5.490895
IB217,300.000000,0.250000,-0.512939
IB217,100.000000,0.250000,-0.828097
IB217,300.000000,0.250000,-1.989763
IB217,100.000000,0.250000,-0.544155
IB217,300.000000,0.250000,-0.392493
IB217,100.000000,0.250000,-2.086995
IB217,300.000000,0.250000,-2.827629
IB217,100.000000,0.250000,-0.310771
IB217,300.000000,0.250000,-0.698856
IB217,100.000000,0.250000,-2.027172
IB217,300.000000,0.250000,-0.515808
IB217,100.000000,0.250000,-3.903113
IB217,300.000000,0.250000,-0.695925
IB217,100.000000,0.250000,-1.009457
IB217,300.000000,0.250000,-2.179232
IB217,100.000000,0.250000,-6.104250
IB217,300.000000,0.250000,-2.172139
