SubjectID,block,width,p
IC1133,100.000000,0.150000,-6.909279
IC1133,300.000000,0.150000,-6.674629
IC1133,100.000000,0.150000,-6.853923
IC1133,300.000000,0.150000,-7.084040
IC1133,100.000000,0.150000,-6.973995
IC1133,300.000000,0.150000,-7.079603
IC1133,100.000000,0.150000,-8.362191
IC1133,300.000000,0.150000,-6.924795
IC1133,100.000000,0.150000,-7.434316
IC1133,300.000000,0.150000,-7.290197
IC1133,100.000000,0.150000,-7.153659
IC1133,300.000000,0.150000,-7.925968
IC1133,100.000000,0.150000,-7.399747
IC1133,300.000000,0.150000,-8.214261
IC1133,100.000000,0.150000,-6.843459
IC1133,300.000000,0.150000,-7.209908
IC1133,100.000000,0.150000,-6.891850
IC1133,300.000000,0.150000,-6.535173
IC1133,100.000000,0.150000,-9.106444
IC1133,300.000000,0.150000,-7.453625
