SubjectID,block,width,p
JB340,100.000000,0.250000,-5.323281
JB340,300.000000,0.250000,-1.676666
JB340,100.000000,0.250000,-0.629566
JB340,300.000000,0.250000,-1.691587
JB340,100.000000,0.250000,-1.130635
JB340,300.000000,0.250000,-2.123375
JB340,100.000000,0.250000,-0.646235
JB340,300.000000,0.250000,-5.629822
JB340,100.000000,0.250000,-0.329755
JB340,300.000000,0.250000,-1.886764
JB340,100.000000,0.250000,-4.041895
JB340,300.000000,0.250000,-6.388264
JB340,100.000000,0.250000,-2.609086
JB340,300.000000,0.250000,-1.235719
JB340,100.000000,0.250000,-1.845082
JB340,300.000000,0.250000,-7.478082
JB340,100.000000,0.250000,-0.736994
JB340,300.000000,0.250000,-6.802805
JB340,100.000000,0.250000,-3.250696
JB340,300.000000,0.250000,-0.897664
