SubjectID,block,width,p
JB340,100.000000,0.000000,-7.078086
JB340,300.000000,0.000000,-4.322463
JB340,100.000000,0.000000,-0.561969
JB340,300.000000,0.000000,-1.219323
JB340,100.000000,0.000000,-0.560911
JB340,300.000000,0.000000,-6.512364
JB340,100.000000,0.000000,-2.937514
JB340,300.000000,0.000000,-3.894324
JB340,100.000000,0.000000,-4.226699
JB340,300.000000,0.000000,-6.511480
JB340,100.000000,0.000000,-0.543300
JB340,300.000000,0.000000,-2.076486
JB340,100.000000,0.000000,-0.583293
JB340,300.000000,0.000000,-1.547617
JB340,100.000000,0.000000,-0.597966
JB340,300.000000,0.000000,-2.263379
JB340,100.000000,0.000000,-2.381883
JB340,300.000000,0.000000,-2.353110
JB340,100.000000,0.000000,-0.828593
JB340,300.000000,0.000000,-2.073957
