SubjectID,block,width,p
JC1050,100.000000,0.250000,-8.645131
JC1050,300.000000,0.250000,-9.081448
JC1050,100.000000,0.250000,-7.763763
JC1050,300.000000,0.250000,-5.379758
JC1050,100.000000,0.250000,-8.428411
JC1050,300.000000,0.250000,-6.843370
JC1050,100.000000,0.250000,-6.562739
JC1050,300.000000,0.250000,-5.304179
JC1050,100.000000,0.250000,-6.709781
JC1050,300.000000,0.250000,-6.973782
JC1050,100.000000,0.250000,-7.100565
JC1050,300.000000,0.250000,-4.711223
JC1050,100.000000,0.250000,-5.783325
JC1050,300.000000,0.250000,-4.434144
JC1050,100.000000,0.250000,-6.341349
JC1050,300.000000,0.250000,-4.354545
JC1050,100.000000,0.250000,-4.877071
JC1050,300.000000,0.250000,-4.752533
JC1050,100.000000,0.250000,-8.867909
JC1050,300.000000,0.250000,-7.005739
