SubjectID,block,width,p
JC897,100.000000,0.000000,-4.738883
JC897,300.000000,0.000000,-4.290200
JC897,100.000000,0.000000,-6.679578
JC897,300.000000,0.000000,-5.987615
JC897,100.000000,0.000000,-6.490910
JC897,300.000000,0.000000,-5.062078
JC897,100.000000,0.000000,-6.777407
JC897,300.000000,0.000000,-9.320449
JC897,100.000000,0.000000,-3.665315
JC897,300.000000,0.000000,-7.618953
JC897,100.000000,0.000000,-9.450196
JC897,300.000000,0.000000,-5.898857
JC897,100.000000,0.000000,-3.937531
JC897,300.000000,0.000000,-7.641419
JC897,100.000000,0.000000,-4.657902
JC897,300.000000,0.000000,-3.475061
JC897,100.000000,0.000000,-5.102173
JC897,300.000000,0.000000,-3.708091
JC897,100.000000,0.000000,-6.496897
JC897,300.000000,0.000000,-7.776531
