SubjectID,block,width,p
KB578,100.000000,0.000000,-5.306236
KB578,300.000000,0.000000,-5.808664
KB578,100.000000,0.000000,-7.020706
KB578,300.000000,0.000000,-6.261167
KB578,100.000000,0.000000,-6.173018
KB578,300.000000,0.000000,-5.874722
KB578,100.000000,0.000000,-6.512664
KB578,300.000000,0.000000,-7.968451
KB578,100.000000,0.000000,-7.761779
KB578,300.000000,0.000000,-6.793513
KB578,100.000000,0.000000,-8.783805
KB578,300.000000,0.000000,-6.166489
KB578,100.000000,0.000000,-10.335651
KB578,300.000000,0.000000,-5.471538
KB578,100.000000,0.000000,-5.471253
KB578,300.000000,0.000000,-8.322352
KB578,100.000000,0.000000,-6.894753
KB578,300.000000,0.000000,-7.597134
KB578,100.000000,0.000000,-6.530186
KB578,300.000000,0.000000,-4.849275
