SubjectID,block,width,p
KB749,100.000000,0.150000,-3.140943
KB749,300.000000,0.150000,-8.037150
KB749,100.000000,0.150000,-3.159101
KB749,300.000000,0.150000,-0.833735
KB749,100.000000,0.150000,-5.727573
KB749,300.000000,0.150000,-5.314019
KB749,100.000000,0.150000,-3.312646
KB749,300.000000,0.150000,-3.698615
KB749,100.000000,0.150000,-0.728713
KB749,300.000000,0.150000,-0.680370
KB749,100.000000,0.150000,-5.649035
KB749,300.000000,0.150000,-7.682527
KB749,100.000000,0.150000,-4.196572
KB749,300.000000,0.150000,-1.272752
KB749,100.000000,0.150000,-3.276430
KB749,300.000000,0.150000,-0.829899
KB749,100.000000,0.150000,-4.081882
KB749,300.000000,0.150000,-1.116300
KB749,100.000000,0.150000,-2.479289
KB749,300.000000,0.150000,-2.747801
