SubjectID,block,width,p
LC1019,100.000000,0.200000,-9.406989
LC1019,300.000000,0.200000,-6.388596
LC1019,100.000000,0.200000,-5.894552
LC1019,300.000000,0.200000,-9.399960
LC1019,100.000000,0.200000,-6.011176
LC1019,300.000000,0.200000,-6.962306
LC1019,100.000000,0.200000,-7.153946
LC1019,300.000000,0.200000,-7.109026
LC1019,100.000000,0.200000,-7.835393
LC1019,300.000000,0.200000,-6.535355
LC1019,100.000000,0.200000,-7.014858
LC1019,300.000000,0.200000,-8.172541
LC1019,100.000000,0.200000,-7.068474
LC1019,300.000000,0.200000,-6.731302
LC1019,100.000000,0.200000,-9.959331
LC1019,300.000000,0.200000,-7.618783
LC1019,100.000000,0.200000,-6.841670
LC1019,300.000000,0.200000,-5.958910
LC1019,100.000000,0.200000,-7.103140
LC1019,300.000000,0.200000,-6.492097
