SubjectID,block,width,p
LC1019,100.000000,0.000000,-6.975994
LC1019,300.000000,0.000000,-8.746649
LC1019,100.000000,0.000000,-6.047591
LC1019,300.000000,0.000000,-7.777055
LC1019,100.000000,0.000000,-7.424166
LC1019,300.000000,0.000000,-6.271661
LC1019,100.000000,0.000000,-6.169709
LC1019,300.000000,0.000000,-7.024183
LC1019,100.000000,0.000000,-8.804705
LC1019,300.000000,0.000000,-7.146793
LC1019,100.000000,0.000000,-8.959938
LC1019,300.000000,0.000000,-6.429879
LC1019,100.000000,0.000000,-6.808083
LC1019,300.000000,0.000000,-7.533540
LC1019,100.000000,0.000000,-6.930841
LC1019,300.000000,0.000000,-7.802929
LC1019,100.000000,0.000000,-6.682513
LC1019,300.000000,0.000000,-5.836686
LC1019,100.000000,0.000000,-6.963756
LC1019,300.000000,0.000000,-6.947010
