2018-3-22,16:31:51
trial,stimulus,sound1,sound2,selection,RT
1,Step_1_300.wav,NA,NA,Sha,1.280384e+00
2,Step_2_300.wav,NA,NA,Sha,9.157369e-01
3,Step_7_300.wav,NA,NA,Sa,4.862299e-01
4,Step_4_300.wav,NA,NA,Sha,1.125830e+00
5,Step_3_300.wav,NA,NA,Sha,2.790792e-01
6,Step_2_300.wav,NA,NA,Sha,4.239500e-01
7,Step_4_300.wav,NA,NA,Sa,5.300550e-01
8,Step_3_300.wav,NA,NA,Sha,1.491332e+00
9,Step_7_300.wav,NA,NA,Sa,3.371589e-01
10,Step_4_300.wav,NA,NA,Sa,9.523129e-01
11,Step_6_300.wav,NA,NA,Sa,3.595409e-01
12,Step_4_300.wav,NA,NA,Sa,1.879104e+00
13,Step_2_300.wav,NA,NA,Sha,4.936349e-01
14,Step_6_300.wav,NA,NA,Sa,8.191299e-02
15,Step_1_300.wav,NA,NA,Sha,5.611801e-02
16,Step_6_300.wav,NA,NA,Sa,1.895881e-01
17,Step_5_300.wav,NA,NA,Sa,3.793390e-01
18,Step_7_300.wav,NA,NA,Sa,2.117350e-01
19,Step_5_300.wav,NA,NA,Sa,4.502201e-01
20,Step_5_300.wav,NA,NA,Sa,3.649681e-01
21,Step_4_300.wav,NA,NA,Sa,6.248682e-01
22,Step_1_300.wav,NA,NA,Sha,4.696500e-01
23,Step_1_300.wav,NA,NA,Sha,5.212629e-01
24,Step_7_300.wav,NA,NA,Sa,4.699130e-01
25,Step_6_300.wav,NA,NA,Sa,2.974381e-01
26,Step_1_300.wav,NA,NA,Sha,4.111891e-01
27,Step_2_300.wav,NA,NA,Sha,3.445358e-01
28,Step_5_300.wav,NA,NA,Sa,3.398480e-01
29,Step_3_300.wav,NA,NA,Sha,3.308010e-01
30,Step_3_300.wav,NA,NA,Sha,4.016728e-01
31,Step_6_300.wav,NA,NA,Sa,4.825799e-01
32,Step_2_300.wav,NA,NA,Sha,3.944578e-01
33,Step_7_300.wav,NA,NA,Sa,5.834100e-01
34,Step_5_300.wav,NA,NA,Sa,7.185209e-01
35,Step_3_300.wav,NA,NA,Sha,2.585940e-01
36,Step_3_100.wav,NA,NA,Sha,1.330404e+00
37,Step_3_100.wav,NA,NA,Sa,5.280881e-01
38,Step_4_100.wav,NA,NA,Sa,5.428848e-01
39,Step_3_100.wav,NA,NA,Sa,2.745290e-01
40,Step_2_100.wav,NA,NA,Sha,3.765070e-01
41,Step_2_100.wav,NA,NA,Sha,3.423822e-01
42,Step_5_100.wav,NA,NA,Sa,4.546299e-01
43,Step_7_100.wav,NA,NA,Sa,3.106699e-01
44,Step_7_100.wav,NA,NA,Sa,3.941028e-01
45,Step_1_100.wav,NA,NA,Sha,3.482769e-01
46,Step_4_100.wav,NA,NA,Sha,3.808341e-01
47,Step_3_100.wav,NA,NA,Sha,3.144670e-01
48,Step_5_100.wav,NA,NA,Sa,4.743130e-01
49,Step_5_100.wav,NA,NA,Sa,3.552470e-01
50,Step_5_100.wav,NA,NA,Sa,2.800951e-01
51,Step_6_100.wav,NA,NA,Sa,2.782719e-01
52,Step_6_100.wav,NA,NA,Sa,3.291171e-01
53,Step_1_100.wav,NA,NA,Sha,4.131360e-01
54,Step_4_100.wav,NA,NA,Sa,9.359651e-01
55,Step_7_100.wav,NA,NA,Sa,3.204579e-01
56,Step_5_100.wav,NA,NA,Sa,6.085041e-01
57,Step_7_100.wav,NA,NA,Sa,3.419850e-01
58,Step_7_100.wav,NA,NA,Sa,2.943752e-01
59,Step_6_100.wav,NA,NA,Sa,2.692909e-01
60,Step_6_100.wav,NA,NA,Sa,2.676990e-01
61,Step_4_100.wav,NA,NA,Sha,1.613404e+00
62,Step_2_100.wav,NA,NA,Sha,1.036424e+00
63,Step_3_100.wav,NA,NA,Sha,1.156547e+00
64,Step_2_100.wav,NA,NA,Sha,3.683269e-01
65,Step_1_100.wav,NA,NA,Sha,2.975779e-01
66,Step_2_100.wav,NA,NA,Sha,4.245591e-01
67,Step_6_100.wav,NA,NA,Sa,4.959550e-01
68,Step_4_100.wav,NA,NA,Sha,4.655430e-01
69,Step_1_100.wav,NA,NA,Sha,9.101319e-01
70,Step_1_100.wav,NA,NA,Sha,5.576861e-01
71,Step_2_300.wav,NA,NA,Sha,8.567901e-01
72,Step_5_300.wav,NA,NA,Sa,1.733119e-01
73,Step_1_300.wav,NA,NA,Sha,1.825640e-01
74,Step_3_300.wav,NA,NA,Sa,7.324200e-01
75,Step_4_300.wav,NA,NA,Sa,5.088649e-01
76,Step_7_300.wav,NA,NA,Sa,3.173840e-01
77,Step_5_300.wav,NA,NA,Sa,2.318480e-01
78,Step_4_300.wav,NA,NA,Sha,3.715439e-01
79,Step_5_300.wav,NA,NA,Sa,5.835230e-01
80,Step_4_300.wav,NA,NA,Sa,5.269251e-01
81,Step_6_300.wav,NA,NA,Sa,2.963929e-01
82,Step_7_300.wav,NA,NA,Sa,2.821620e-01
83,Step_7_300.wav,NA,NA,Sa,3.911600e-01
84,Step_4_300.wav,NA,NA,Sha,3.640878e-01
85,Step_3_300.wav,NA,NA,Sha,4.560049e-01
86,Step_6_300.wav,NA,NA,Sa,4.070311e-01
87,Step_2_300.wav,NA,NA,Sha,3.845458e-01
88,Step_6_300.wav,NA,NA,Sa,3.329589e-01
89,Step_4_300.wav,NA,NA,Sha,8.117790e-01
90,Step_2_300.wav,NA,NA,Sha,1.950905e+00
91,Step_7_300.wav,NA,NA,Sa,7.595479e-01
92,Step_5_300.wav,NA,NA,Sa,5.767970e-01
93,Step_2_300.wav,NA,NA,Sha,3.477058e-01
94,Step_1_300.wav,NA,NA,Sa,7.090998e-02
95,Step_1_300.wav,NA,NA,Sha,1.209112e+00
96,Step_3_300.wav,NA,NA,Sha,5.812690e-01
97,Step_3_300.wav,NA,NA,Sa,1.780720e+00
