2018-10-3,15:19:24
trial,stimulus,sound1,sound2,selection,RT
1,Step_3_300.wav,NA,NA,Sha,1.190194e+00
2,Step_6_300.wav,NA,NA,Sa,5.278790e-01
3,Step_5_300.wav,NA,NA,Sa,6.012590e-01
4,Step_1_300.wav,NA,NA,Sha,1.649342e-01
5,Step_7_300.wav,NA,NA,Sa,4.948540e-01
6,Step_7_300.wav,NA,NA,Sa,2.666340e-01
7,Step_3_300.wav,NA,NA,Sha,4.711850e-01
8,Step_2_300.wav,NA,NA,Sha,4.505980e-01
9,Step_4_300.wav,NA,NA,Sha,5.173302e-01
10,Step_1_300.wav,NA,NA,Sha,4.183631e-01
11,Step_4_300.wav,NA,NA,Sha,4.762390e-01
12,Step_5_300.wav,NA,NA,Sha,7.802119e-01
13,Step_1_300.wav,NA,NA,Sha,2.738559e-01
14,Step_2_300.wav,NA,NA,Sha,4.107332e-01
15,Step_6_300.wav,NA,NA,Sa,4.037869e-01
16,Step_5_300.wav,NA,NA,Sa,9.088941e-01
17,Step_7_300.wav,NA,NA,Sa,4.071970e-01
18,Step_6_300.wav,NA,NA,Sa,4.610221e-01
19,Step_4_300.wav,NA,NA,Sha,2.279160e-01
20,Step_2_300.wav,NA,NA,Sha,1.791079e-01
21,Step_2_300.wav,NA,NA,Sha,3.209770e-01
22,Step_1_300.wav,NA,NA,Sha,2.353978e-01
23,Step_3_300.wav,NA,NA,Sha,1.430340e-01
24,Step_5_300.wav,NA,NA,Sha,8.554869e-01
25,Step_4_300.wav,NA,NA,Sha,1.035894e+00
26,Step_7_300.wav,NA,NA,Sa,5.347888e-01
27,Step_3_300.wav,NA,NA,Sha,4.842529e-01
28,Step_5_300.wav,NA,NA,Sha,5.884309e-01
29,Step_1_300.wav,NA,NA,Sha,5.396149e-01
30,Step_6_300.wav,NA,NA,Sa,4.094009e-01
31,Step_3_300.wav,NA,NA,Sha,4.506030e-01
32,Step_4_300.wav,NA,NA,Sha,7.411580e-01
33,Step_7_300.wav,NA,NA,Sa,5.736098e-01
34,Step_6_300.wav,NA,NA,Sa,8.165920e-01
35,Step_2_300.wav,NA,NA,Sha,4.720800e-01
36,Step_7_100.wav,NA,NA,Sa,1.162079e+00
37,Step_4_100.wav,NA,NA,Sa,8.343811e-01
38,Step_3_100.wav,NA,NA,Sha,5.074139e-01
39,Step_6_100.wav,NA,NA,Sa,5.773380e-01
40,Step_5_100.wav,NA,NA,Sa,4.977031e-01
41,Step_6_100.wav,NA,NA,Sa,3.634331e-01
42,Step_6_100.wav,NA,NA,Sa,4.243698e-01
43,Step_1_100.wav,NA,NA,Sha,4.635310e-01
44,Step_5_100.wav,NA,NA,Sa,4.841130e-01
45,Step_4_100.wav,NA,NA,Sha,4.333491e-01
46,Step_4_100.wav,NA,NA,Sha,6.209750e-01
47,Step_4_100.wav,NA,NA,Sha,3.349609e-01
48,Step_5_100.wav,NA,NA,Sha,3.916759e-01
49,Step_3_100.wav,NA,NA,Sha,4.657209e-01
50,Step_1_100.wav,NA,NA,Sha,4.544079e-01
51,Step_7_100.wav,NA,NA,Sa,4.905121e-01
52,Step_3_100.wav,NA,NA,Sha,7.002032e-01
53,Step_2_100.wav,NA,NA,Sha,2.448151e-01
54,Step_7_100.wav,NA,NA,Sa,4.502149e-01
55,Step_2_100.wav,NA,NA,Sha,4.506249e-01
