2018-4-11,9:26:48
trial,stimulus,sound1,sound2,selection,RT
1,Step_7_300.wav,NA,NA,NA,6.258869e-01
2,Step_4_300.wav,NA,NA,Sha,4.410300e-01
3,Step_6_300.wav,NA,NA,Sa,4.930496e-04
4,Step_1_300.wav,NA,NA,Sha,6.518364e-04
5,Step_5_300.wav,NA,NA,Sha,7.351031e-01
6,Step_3_300.wav,NA,NA,Sa,7.035310e-01
7,Step_2_300.wav,NA,NA,Sha,6.666660e-01
8,Step_3_300.wav,NA,NA,Sa,8.882904e-02
9,Step_2_300.wav,NA,NA,Sha,1.234910e-01
10,Step_6_300.wav,NA,NA,Sa,1.311212e-01
11,Step_5_300.wav,NA,NA,Sha,6.239414e-04
12,Step_3_300.wav,NA,NA,Sa,6.120205e-04
13,Step_6_300.wav,NA,NA,Sha,1.750579e-01
14,Step_1_300.wav,NA,NA,Sha,9.248400e-01
15,Step_2_300.wav,NA,NA,Sha,9.395621e-01
16,Step_7_300.wav,NA,NA,Sa,5.906606e-02
17,Step_7_300.wav,NA,NA,Sa,3.812401e-01
18,Step_2_300.wav,NA,NA,Sha,2.134109e-01
19,Step_4_300.wav,NA,NA,Sa,2.243230e-01
20,Step_5_300.wav,NA,NA,Sha,1.551405e+00
21,Step_1_300.wav,NA,NA,Sa,6.271992e-01
22,Step_1_300.wav,NA,NA,Sha,1.039650e+00
23,Step_4_300.wav,NA,NA,Sa,4.903221e-01
24,Step_6_300.wav,NA,NA,Sha,8.704681e-01
25,Step_7_300.wav,NA,NA,Sha,3.992941e-01
26,Step_6_300.wav,NA,NA,Sa,2.244740e-01
27,Step_2_300.wav,NA,NA,Sha,2.715330e+00
28,Step_5_300.wav,NA,NA,Sha,1.034616e+00
29,Step_3_300.wav,NA,NA,Sha,4.611239e-01
30,Step_7_300.wav,NA,NA,Sa,3.482580e-01
31,Step_3_300.wav,NA,NA,Sha,1.193900e-01
32,Step_5_300.wav,NA,NA,Sa,1.082695e+00
33,Step_4_300.wav,NA,NA,Sha,6.389618e-04
34,Step_4_300.wav,NA,NA,Sa,4.909039e-04
35,Step_1_300.wav,NA,NA,Sha,4.720688e-04
36,Step_2_100.wav,NA,NA,Sa,1.736874e+00
37,Step_6_100.wav,NA,NA,Sa,6.245320e-01
38,Step_3_100.wav,NA,NA,Sha,9.623861e-01
39,Step_2_100.wav,NA,NA,Sa,1.874311e-01
40,Step_5_100.wav,NA,NA,Sha,3.949940e-01
41,Step_6_100.wav,NA,NA,Sa,3.011880e-01
42,Step_6_100.wav,NA,NA,Sha,2.885170e-01
43,Step_1_100.wav,NA,NA,Sa,4.129410e-04
44,Step_4_100.wav,NA,NA,Sa,6.320741e-01
45,Step_1_100.wav,NA,NA,Sha,3.584411e-01
46,Step_2_100.wav,NA,NA,Sa,2.912221e-01
47,Step_5_100.wav,NA,NA,Sha,5.737541e-01
48,Step_4_100.wav,NA,NA,Sa,4.144938e-01
49,Step_4_100.wav,NA,NA,Sha,1.344961e+00
50,Step_1_100.wav,NA,NA,Sha,1.659173e+00
51,Step_7_100.wav,NA,NA,Sa,6.882279e-01
52,Step_7_100.wav,NA,NA,Sa,8.125248e-01
53,Step_3_100.wav,NA,NA,Sha,1.012777e+00
54,Step_5_100.wav,NA,NA,Sa,8.997481e-01
55,Step_6_100.wav,NA,NA,Sa,2.742948e+00
56,Step_2_100.wav,NA,NA,Sha,9.003680e-01
57,Step_4_100.wav,NA,NA,Sa,2.799677e+00
58,Step_4_100.wav,NA,NA,Sha,6.348820e-01
59,Step_3_100.wav,NA,NA,Sha,8.893220e-01
60,Step_1_100.wav,NA,NA,Sa,1.521249e-01
61,Step_6_100.wav,NA,NA,Sha,3.345850e-01
62,Step_2_100.wav,NA,NA,Sa,1.041102e-02
63,Step_1_100.wav,NA,NA,Sha,1.179442e+00
64,Step_7_100.wav,NA,NA,Sha,2.408089e+00
65,Step_5_100.wav,NA,NA,Sha,8.621371e-01
66,Step_3_100.wav,NA,NA,Sha,8.922091e-01
67,Step_7_100.wav,NA,NA,Sa,6.272130e-01
68,Step_7_100.wav,NA,NA,Sha,3.890231e-01
69,Step_3_100.wav,NA,NA,Sa,2.151599e-01
70,Step_5_100.wav,NA,NA,Sha,3.835070e-01
71,Step_6_300.wav,NA,NA,Sha,3.331790e-01
72,Step_2_300.wav,NA,NA,Sa,4.508495e-04
73,Step_6_300.wav,NA,NA,Sa,4.755280e-01
74,Step_2_300.wav,NA,NA,Sha,5.259514e-04
75,Step_4_300.wav,NA,NA,Sa,9.843087e-02
76,Step_1_300.wav,NA,NA,Sa,2.733500e-01
77,Step_7_300.wav,NA,NA,Sa,8.581769e-01
78,Step_4_300.wav,NA,NA,Sha,6.629519e-01
79,Step_5_300.wav,NA,NA,Sa,1.268721e+00
80,Step_1_300.wav,NA,NA,Sa,1.039016e+00
81,Step_7_300.wav,NA,NA,Sha,5.537531e-01
82,Step_2_300.wav,NA,NA,Sa,4.839361e-01
83,Step_4_300.wav,NA,NA,Sha,4.040320e-01
84,Step_2_300.wav,NA,NA,Sa,2.930501e-01
85,Step_5_300.wav,NA,NA,Sha,3.588660e-01
86,Step_7_300.wav,NA,NA,Sa,3.341630e-01
87,Step_3_300.wav,NA,NA,Sha,5.652299e-01
88,Step_7_300.wav,NA,NA,Sa,6.675541e-01
89,Step_7_300.wav,NA,NA,Sa,3.855860e-01
90,Step_3_300.wav,NA,NA,Sha,1.379511e-01
91,Step_1_300.wav,NA,NA,Sa,2.065880e-01
92,Step_1_300.wav,NA,NA,Sa,7.167749e-01
93,Step_2_300.wav,NA,NA,Sa,5.722849e-01
94,Step_1_300.wav,NA,NA,Sha,1.295362e+00
95,Step_4_300.wav,NA,NA,Sha,1.234553e+00
96,Step_5_300.wav,NA,NA,Sa,1.147386e+00
97,Step_3_300.wav,NA,NA,Sha,1.029853e+00
98,Step_3_300.wav,NA,NA,Sha,1.315898e+00
99,Step_5_300.wav,NA,NA,Sa,7.116690e-01
100,Step_6_300.wav,NA,NA,Sha,5.194509e-01
101,Step_4_300.wav,NA,NA,Sa,6.823707e-02
102,Step_6_300.wav,NA,NA,Sha,5.546730e-01
103,Step_3_300.wav,NA,NA,Sa,4.928000e-01
104,Step_6_300.wav,NA,NA,Sha,6.893151e-01
105,Step_5_300.wav,NA,NA,Sa,6.239581e-01
