2018-6-28,13:11:28
trial,stimulus,sound1,sound2,selection,RT
1,Step_3_300.wav,NA,NA,Sha,5.110118e-01
2,Step_5_300.wav,NA,NA,Sha,9.941080e-01
3,Step_6_300.wav,NA,NA,Sa,4.030509e-01
4,Step_7_300.wav,NA,NA,Sa,2.922499e-01
5,Step_1_300.wav,NA,NA,Sha,2.299039e-01
6,Step_7_300.wav,NA,NA,Sa,3.173749e-01
7,Step_2_300.wav,NA,NA,Sha,2.831931e-01
8,Step_6_300.wav,NA,NA,Sa,2.726181e-01
9,Step_1_300.wav,NA,NA,Sha,1.773150e-01
10,Step_2_300.wav,NA,NA,Sha,6.390591e-01
11,Step_6_300.wav,NA,NA,Sa,4.559951e-01
12,Step_6_300.wav,NA,NA,Sa,5.511069e-01
13,Step_2_300.wav,NA,NA,Sha,3.295081e-01
14,Step_7_300.wav,NA,NA,Sa,1.602280e-01
15,Step_2_300.wav,NA,NA,Sha,6.418228e-04
16,Step_1_300.wav,NA,NA,Sha,3.690491e-01
17,Step_4_300.wav,NA,NA,Sha,5.171199e-01
18,Step_4_300.wav,NA,NA,Sha,2.340801e-01
19,Step_7_300.wav,NA,NA,Sa,5.660372e-01
20,Step_3_300.wav,NA,NA,Sha,3.322611e-01
21,Step_4_300.wav,NA,NA,Sha,4.030149e-01
22,Step_5_300.wav,NA,NA,Sha,2.361100e-01
23,Step_4_300.wav,NA,NA,Sha,4.958360e-01
24,Step_1_300.wav,NA,NA,Sa,2.521431e-01
25,Step_4_300.wav,NA,NA,Sha,6.442318e-01
26,Step_3_300.wav,NA,NA,Sha,4.095881e-01
27,Step_5_300.wav,NA,NA,Sa,7.509520e-01
28,Step_3_300.wav,NA,NA,Sha,5.879509e-01
29,Step_7_300.wav,NA,NA,Sa,6.114450e-01
30,Step_6_300.wav,NA,NA,Sa,5.714412e-01
31,Step_3_300.wav,NA,NA,Sha,1.462438e+00
32,Step_5_300.wav,NA,NA,Sa,7.794912e-01
33,Step_1_300.wav,NA,NA,Sha,3.851180e-01
34,Step_2_300.wav,NA,NA,Sha,2.857761e-01
35,Step_5_300.wav,NA,NA,Sa,5.231750e-01
36,Step_5_100.wav,NA,NA,Sha,6.467638e-01
37,Step_6_100.wav,NA,NA,Sha,3.935270e-01
38,Step_4_100.wav,NA,NA,Sa,6.317739e-01
39,Step_1_100.wav,NA,NA,Sha,6.944771e-01
40,Step_3_100.wav,NA,NA,Sha,3.863401e-01
41,Step_5_100.wav,NA,NA,Sa,5.965319e-01
42,Step_4_100.wav,NA,NA,Sha,8.540058e-01
43,Step_7_100.wav,NA,NA,Sa,2.783370e+00
44,Step_1_100.wav,NA,NA,Sha,6.578460e-01
45,Step_2_100.wav,NA,NA,Sha,2.008860e-01
46,Step_2_100.wav,NA,NA,Sha,1.731122e-01
47,Step_1_100.wav,NA,NA,Sha,6.114938e-01
48,Step_6_100.wav,NA,NA,Sa,5.292928e-01
49,Step_2_100.wav,NA,NA,Sha,7.359538e-01
50,Step_3_100.wav,NA,NA,Sha,4.618480e-01
51,Step_4_100.wav,NA,NA,Sha,6.580269e-01
52,Step_7_100.wav,NA,NA,Sa,3.772161e-01
53,Step_2_100.wav,NA,NA,Sha,1.989300e-01
54,Step_3_100.wav,NA,NA,Sha,2.305300e-01
55,Step_4_100.wav,NA,NA,Sha,3.435531e-01
56,Step_1_100.wav,NA,NA,Sha,4.079192e-01
57,Step_7_100.wav,NA,NA,Sa,4.624741e-01
58,Step_5_100.wav,NA,NA,Sha,4.554329e-01
59,Step_7_100.wav,NA,NA,Sa,1.387985e+00
60,Step_3_100.wav,NA,NA,Sha,4.799409e-01
61,Step_1_100.wav,NA,NA,Sha,3.730948e-01
62,Step_2_100.wav,NA,NA,Sha,5.545201e-01
63,Step_7_100.wav,NA,NA,Sa,1.170240e+00
64,Step_6_100.wav,NA,NA,Sha,1.250491e+00
65,Step_4_100.wav,NA,NA,Sha,1.289430e+00
66,Step_3_100.wav,NA,NA,Sha,6.978910e-01
67,Step_5_100.wav,NA,NA,Sa,8.345511e-01
68,Step_5_100.wav,NA,NA,Sha,5.954978e-01
69,Step_6_100.wav,NA,NA,Sha,6.845841e-01
70,Step_6_100.wav,NA,NA,Sa,4.844790e-01
71,Step_7_300.wav,NA,NA,Sha,5.093219e-01
72,Step_7_300.wav,NA,NA,Sa,3.383951e-01
73,Step_3_300.wav,NA,NA,Sha,5.133991e-01
74,Step_1_300.wav,NA,NA,Sha,2.498820e-01
75,Step_5_300.wav,NA,NA,Sha,1.001946e+00
