2018-3-16,9:21:33
trial,stimulus,sound1,sound2,selection,RT
1,Step_2_300.wav,NA,NA,Sha,6.400359e-01
2,Step_7_300.wav,NA,NA,Sa,3.729360e-01
3,Step_4_300.wav,NA,NA,Sha,6.718636e-04
4,Step_1_300.wav,NA,NA,Sa,1.289892e-02
5,Step_3_300.wav,NA,NA,Sha,4.527497e-02
6,Step_7_300.wav,NA,NA,Sa,3.903270e-01
7,Step_2_300.wav,NA,NA,Sha,9.100008e-02
8,Step_1_300.wav,NA,NA,Sha,2.539310e-01
9,Step_1_300.wav,NA,NA,Sha,9.358287e-02
10,Step_2_300.wav,NA,NA,Sha,5.716778e+00
11,Step_6_300.wav,NA,NA,Sha,4.724979e-01
12,Step_7_300.wav,NA,NA,Sha,3.479209e-01
13,Step_4_300.wav,NA,NA,Sha,6.552000e-01
14,Step_5_300.wav,NA,NA,Sa,8.249130e-01
15,Step_3_300.wav,NA,NA,Sa,3.403111e-01
16,Step_2_300.wav,NA,NA,Sha,3.596342e-01
17,Step_6_300.wav,NA,NA,Sa,2.118840e-01
18,Step_2_300.wav,NA,NA,Sha,3.062060e-01
19,Step_1_300.wav,NA,NA,Sha,5.182409e-02
20,Step_4_300.wav,NA,NA,Sha,9.413004e-03
21,Step_4_300.wav,NA,NA,Sha,1.784396e-02
22,Step_5_300.wav,NA,NA,Sa,7.697029e-01
23,Step_1_300.wav,NA,NA,Sha,1.912611e-01
24,Step_6_300.wav,NA,NA,Sa,2.497389e-01
25,Step_5_300.wav,NA,NA,Sha,5.025553e+00
26,Step_5_300.wav,NA,NA,Sha,4.939351e-01
27,Step_5_300.wav,NA,NA,Sa,4.267230e-01
28,Step_3_300.wav,NA,NA,Sa,4.701614e-04
29,Step_4_300.wav,NA,NA,Sha,4.940033e-04
30,Step_3_300.wav,NA,NA,Sha,2.483123e+00
31,Step_3_300.wav,NA,NA,Sha,3.261058e-01
32,Step_7_300.wav,NA,NA,Sha,1.170120e-01
33,Step_7_300.wav,NA,NA,Sha,5.111694e-04
34,Step_6_300.wav,NA,NA,Sa,1.068066e+00
35,Step_6_300.wav,NA,NA,Sa,6.199739e-01
36,Step_1_100.wav,NA,NA,Sha,5.232341e-01
37,Step_4_100.wav,NA,NA,Sa,5.462770e-01
38,Step_5_100.wav,NA,NA,Sa,4.260650e-01
39,Step_1_100.wav,NA,NA,Sa,7.772169e-01
40,Step_2_100.wav,NA,NA,Sha,4.040740e-01
41,Step_2_100.wav,NA,NA,Sha,4.345639e-01
42,Step_6_100.wav,NA,NA,Sa,2.946239e-01
43,Step_6_100.wav,NA,NA,Sa,4.456179e-01
44,Step_7_100.wav,NA,NA,Sa,2.214119e-01
45,Step_6_100.wav,NA,NA,Sa,1.339979e-01
46,Step_5_100.wav,NA,NA,Sa,6.608963e-04
47,Step_5_100.wav,NA,NA,Sa,6.647248e-01
48,Step_7_100.wav,NA,NA,Sa,2.520540e-01
49,Step_3_100.wav,NA,NA,Sa,6.537414e-02
50,Step_7_100.wav,NA,NA,Sa,6.806629e-01
51,Step_6_100.wav,NA,NA,Sa,7.044439e-01
52,Step_3_100.wav,NA,NA,Sha,7.132421e-01
53,Step_6_100.wav,NA,NA,Sha,4.461858e-01
54,Step_4_100.wav,NA,NA,Sha,3.422291e-01
55,Step_5_100.wav,NA,NA,Sha,3.188272e-01
56,Step_4_100.wav,NA,NA,Sha,2.145360e-01
57,Step_4_100.wav,NA,NA,Sha,2.150071e-01
58,Step_5_100.wav,NA,NA,Sha,3.591549e-01
59,Step_1_100.wav,NA,NA,Sha,8.849502e-02
60,Step_2_100.wav,NA,NA,Sha,5.450249e-04
61,Step_7_100.wav,NA,NA,Sha,5.078316e-04
62,Step_7_100.wav,NA,NA,Sa,9.452796e-02
63,Step_2_100.wav,NA,NA,Sa,6.189346e-04
64,Step_2_100.wav,NA,NA,Sha,5.099773e-04
65,Step_1_100.wav,NA,NA,Sha,1.288148e+00
66,Step_3_100.wav,NA,NA,Sa,7.488098e-01
67,Step_3_100.wav,NA,NA,Sha,2.627232e-01
68,Step_4_100.wav,NA,NA,Sha,2.804589e-01
69,Step_1_100.wav,NA,NA,Sa,1.918697e-02
70,Step_3_100.wav,NA,NA,Sha,3.948212e-04
71,Step_1_300.wav,NA,NA,Sha,3.358359e-01
72,Step_3_300.wav,NA,NA,Sha,4.680157e-04
73,Step_2_300.wav,NA,NA,Sha,5.300045e-04
74,Step_7_300.wav,NA,NA,Sa,4.901090e-01
75,Step_2_300.wav,NA,NA,Sha,9.743321e-01
76,Step_7_300.wav,NA,NA,Sa,2.466381e-01
77,Step_5_300.wav,NA,NA,Sa,3.105938e-01
78,Step_7_300.wav,NA,NA,Sa,4.489422e-04
79,Step_7_300.wav,NA,NA,Sa,8.201020e-01
80,Step_3_300.wav,NA,NA,Sha,4.594550e-01
81,Step_4_300.wav,NA,NA,Sha,4.858971e-04
82,Step_4_300.wav,NA,NA,Sha,8.703411e-01
83,Step_3_300.wav,NA,NA,Sha,3.590360e-01
84,Step_6_300.wav,NA,NA,Sha,9.587581e-01
85,Step_6_300.wav,NA,NA,Sha,4.746778e-01
86,Step_2_300.wav,NA,NA,Sa,4.999638e-04
87,Step_4_300.wav,NA,NA,Sha,8.622373e+00
88,Step_6_300.wav,NA,NA,Sa,4.517131e-01
89,Step_3_300.wav,NA,NA,Sha,4.631400e-02
90,Step_1_300.wav,NA,NA,Sha,7.937717e-02
91,Step_2_300.wav,NA,NA,Sha,1.594243e+00
92,Step_2_300.wav,NA,NA,Sha,1.353199e-01
93,Step_5_300.wav,NA,NA,Sha,8.365297e-02
94,Step_4_300.wav,NA,NA,Sha,2.878040e+00
95,Step_5_300.wav,NA,NA,Sa,8.666999e-01
96,Step_1_300.wav,NA,NA,Sha,5.230904e-04
97,Step_5_300.wav,NA,NA,Sa,5.308301e-01
98,Step_3_300.wav,NA,NA,Sha,1.486290e-01
99,Step_1_300.wav,NA,NA,Sha,2.893400e-02
100,Step_5_300.wav,NA,NA,Sha,4.432201e-04
101,Step_7_300.wav,NA,NA,Sa,3.254859e-01
102,Step_1_300.wav,NA,NA,Sha,2.282941e-01
103,Step_6_300.wav,NA,NA,Sa,3.543186e-02
104,Step_4_300.wav,NA,NA,Sha,5.691051e-04
105,Step_6_300.wav,NA,NA,Sa,5.729198e-04
