2018-4-10,14:39:57
trial,stimulus,sound1,sound2,selection,RT
1,Step_1_300.wav,NA,NA,Sha,1.001741e+00
2,Step_5_300.wav,NA,NA,Sa,5.512531e-01
3,Step_7_300.wav,NA,NA,Sa,7.612441e-01
4,Step_7_300.wav,NA,NA,Sa,5.143559e-01
5,Step_4_300.wav,NA,NA,Sa,6.634021e-01
6,Step_4_300.wav,NA,NA,Sha,7.770801e-01
7,Step_7_300.wav,NA,NA,Sa,5.199909e-04
8,Step_3_300.wav,NA,NA,Sha,9.866095e-02
9,Step_6_300.wav,NA,NA,Sa,5.755997e-02
10,Step_3_300.wav,NA,NA,Sha,6.251335e-04
11,Step_5_300.wav,NA,NA,Sa,2.145090e-01
12,Step_2_300.wav,NA,NA,Sha,2.337210e-01
13,Step_3_300.wav,NA,NA,Sha,3.287559e-01
14,Step_4_300.wav,NA,NA,Sha,1.756279e-01
15,Step_2_300.wav,NA,NA,Sha,1.653628e-01
16,Step_2_300.wav,NA,NA,Sha,7.606685e+00
17,Step_2_300.wav,NA,NA,Sha,8.415878e-01
18,Step_6_300.wav,NA,NA,Sa,2.576430e-01
19,Step_7_300.wav,NA,NA,Sa,2.299042e-01
20,Step_5_300.wav,NA,NA,Sa,5.741119e-04
21,Step_7_300.wav,NA,NA,Sa,5.991459e-04
22,Step_1_300.wav,NA,NA,Sa,5.323386e-02
23,Step_4_300.wav,NA,NA,Sha,1.618503e+00
24,Step_1_300.wav,NA,NA,Sha,9.926798e-01
25,Step_1_300.wav,NA,NA,Sha,8.660071e-01
26,Step_2_300.wav,NA,NA,Sha,1.863689e-01
27,Step_3_300.wav,NA,NA,Sha,5.644801e-01
28,Step_3_300.wav,NA,NA,Sha,2.431240e-01
29,Step_6_300.wav,NA,NA,Sa,3.793318e-01
30,Step_1_300.wav,NA,NA,Sha,4.436419e-01
31,Step_4_300.wav,NA,NA,Sa,4.448891e-04
32,Step_5_300.wav,NA,NA,Sha,2.901571e-01
33,Step_6_300.wav,NA,NA,Sa,9.478099e-01
34,Step_5_300.wav,NA,NA,Sha,7.393181e-01
35,Step_6_300.wav,NA,NA,Sa,1.035727e+00
36,Step_6_100.wav,NA,NA,Sha,9.730020e-01
37,Step_6_100.wav,NA,NA,Sha,4.747171e-01
38,Step_7_100.wav,NA,NA,Sha,3.476572e-01
39,Step_3_100.wav,NA,NA,Sha,5.881398e-01
40,Step_1_100.wav,NA,NA,Sha,1.168829e+00
41,Step_5_100.wav,NA,NA,Sa,2.650509e-01
42,Step_5_100.wav,NA,NA,Sa,3.149841e-01
43,Step_4_100.wav,NA,NA,Sa,5.467269e-01
44,Step_1_100.wav,NA,NA,Sha,5.542920e-01
45,Step_5_100.wav,NA,NA,Sa,6.258469e-01
46,Step_2_100.wav,NA,NA,Sha,2.600129e-01
47,Step_1_100.wav,NA,NA,Sha,6.216948e-01
48,Step_5_100.wav,NA,NA,Sha,5.117638e-01
49,Step_4_100.wav,NA,NA,Sha,3.815401e-01
50,Step_5_100.wav,NA,NA,Sa,2.993140e-01
51,Step_2_100.wav,NA,NA,Sha,1.867380e-01
52,Step_2_100.wav,NA,NA,Sha,5.458431e-01
53,Step_7_100.wav,NA,NA,Sa,5.294468e-01
54,Step_4_100.wav,NA,NA,Sha,1.921351e-01
55,Step_2_100.wav,NA,NA,Sa,1.517100e-01
56,Step_6_100.wav,NA,NA,Sha,3.336499e-01
57,Step_1_100.wav,NA,NA,Sa,2.658310e-01
58,Step_7_100.wav,NA,NA,Sha,2.158930e-01
59,Step_3_100.wav,NA,NA,Sa,7.202919e-01
60,Step_1_100.wav,NA,NA,NA,3.732896e-02
61,Step_6_100.wav,NA,NA,Sa,1.317289e-01
62,Step_2_100.wav,NA,NA,NA,6.151199e-04
63,Step_4_100.wav,NA,NA,Sha,1.791177e+00
64,Step_4_100.wav,NA,NA,Sha,9.158449e-01
65,Step_3_100.wav,NA,NA,Sa,3.075151e-01
66,Step_3_100.wav,NA,NA,Sha,1.143327e+00
67,Step_6_100.wav,NA,NA,Sa,1.025770e-01
68,Step_3_100.wav,NA,NA,Sha,8.507960e-01
69,Step_7_100.wav,NA,NA,Sa,1.244011e-01
70,Step_7_100.wav,NA,NA,Sa,4.900260e-01
71,Step_5_300.wav,NA,NA,Sha,7.576208e-01
72,Step_4_300.wav,NA,NA,Sa,3.986988e-01
73,Step_6_300.wav,NA,NA,Sa,3.999410e-01
74,Step_3_300.wav,NA,NA,Sa,2.491770e-01
75,Step_3_300.wav,NA,NA,Sa,2.491238e-01
76,Step_2_300.wav,NA,NA,Sa,4.171710e-01
77,Step_6_300.wav,NA,NA,Sha,5.470982e-01
78,Step_4_300.wav,NA,NA,Sa,1.016331e-01
79,Step_6_300.wav,NA,NA,Sha,4.923429e-01
80,Step_5_300.wav,NA,NA,Sa,1.952644e+00
81,Step_6_300.wav,NA,NA,Sha,1.230035e+00
82,Step_7_300.wav,NA,NA,Sa,4.627531e-01
83,Step_1_300.wav,NA,NA,Sha,7.435989e-02
84,Step_2_300.wav,NA,NA,Sa,8.086069e-01
85,Step_4_300.wav,NA,NA,Sha,2.435949e-01
86,Step_7_300.wav,NA,NA,Sa,5.670290e-01
87,Step_5_300.wav,NA,NA,Sha,4.880428e-04
88,Step_5_300.wav,NA,NA,Sa,5.540848e-04
89,Step_1_300.wav,NA,NA,Sha,5.211830e-04
90,Step_7_300.wav,NA,NA,Sa,2.449648e-01
91,Step_3_300.wav,NA,NA,Sha,4.620552e-04
92,Step_1_300.wav,NA,NA,Sa,5.168915e-04
93,Step_3_300.wav,NA,NA,Sha,2.307937e+00
94,Step_7_300.wav,NA,NA,Sa,6.290779e-01
95,Step_1_300.wav,NA,NA,Sha,2.220399e-01
96,Step_2_300.wav,NA,NA,Sha,7.413161e-01
97,Step_7_300.wav,NA,NA,Sa,9.822106e-02
98,Step_5_300.wav,NA,NA,Sa,6.651371e-01
99,Step_6_300.wav,NA,NA,Sa,4.153242e-01
100,Step_4_300.wav,NA,NA,Sa,4.847572e-01
101,Step_2_300.wav,NA,NA,Sha,6.126022e-01
102,Step_3_300.wav,NA,NA,Sha,3.851159e-01
103,Step_4_300.wav,NA,NA,Sa,3.855259e-01
104,Step_1_300.wav,NA,NA,Sa,1.462348e+00
105,Step_2_300.wav,NA,NA,Sha,6.871810e-01
