2018-4-3,14:56:12
trial,stimulus,sound1,sound2,selection,RT
1,Step_3_300.wav,NA,NA,Sha,4.761829e-01
2,Step_1_300.wav,NA,NA,Sha,5.161541e-01
3,Step_7_300.wav,NA,NA,Sa,3.294981e-01
4,Step_3_300.wav,NA,NA,Sa,1.063954e+00
5,Step_7_300.wav,NA,NA,Sa,3.794010e-01
6,Step_5_300.wav,NA,NA,Sha,1.636701e-01
7,Step_2_300.wav,NA,NA,Sha,2.009270e-01
8,Step_1_300.wav,NA,NA,Sha,1.191778e-01
9,Step_6_300.wav,NA,NA,Sa,2.632890e-01
10,Step_4_300.wav,NA,NA,Sha,2.034881e-01
11,Step_6_300.wav,NA,NA,Sa,1.539400e-01
12,Step_4_300.wav,NA,NA,Sha,5.515504e-02
13,Step_4_300.wav,NA,NA,Sha,3.963799e-01
14,Step_7_300.wav,NA,NA,Sa,9.347105e-02
15,Step_3_300.wav,NA,NA,Sha,2.240210e-01
16,Step_4_300.wav,NA,NA,Sha,1.034451e-01
17,Step_1_300.wav,NA,NA,Sha,8.283806e-02
18,Step_2_300.wav,NA,NA,Sha,6.370544e-04
19,Step_5_300.wav,NA,NA,Sa,1.752186e-02
20,Step_7_300.wav,NA,NA,Sa,4.497686e+00
21,Step_5_300.wav,NA,NA,Sha,3.283389e-01
22,Step_1_300.wav,NA,NA,Sha,5.191588e-01
23,Step_5_300.wav,NA,NA,Sa,5.002861e-01
24,Step_5_300.wav,NA,NA,Sa,3.044002e-01
25,Step_2_300.wav,NA,NA,Sha,1.425982e-01
26,Step_4_300.wav,NA,NA,Sha,9.491396e-02
27,Step_3_300.wav,NA,NA,Sha,3.010702e-02
28,Step_3_300.wav,NA,NA,Sha,5.865216e-02
29,Step_6_300.wav,NA,NA,Sa,2.446749e-01
30,Step_1_300.wav,NA,NA,Sha,2.162669e-01
31,Step_2_300.wav,NA,NA,Sha,1.393800e-01
32,Step_6_300.wav,NA,NA,Sa,2.196710e-01
33,Step_6_300.wav,NA,NA,Sa,1.105571e-01
34,Step_2_300.wav,NA,NA,Sha,3.779681e-01
35,Step_7_300.wav,NA,NA,Sa,6.024139e-01
36,Step_3_100.wav,NA,NA,Sha,2.547200e-01
37,Step_2_100.wav,NA,NA,Sha,2.841809e-01
38,Step_7_100.wav,NA,NA,Sa,3.668158e-01
39,Step_7_100.wav,NA,NA,Sa,2.961199e-01
40,Step_2_100.wav,NA,NA,Sha,4.551520e-01
41,Step_5_100.wav,NA,NA,Sa,4.918711e-01
42,Step_6_100.wav,NA,NA,Sa,2.533369e-01
43,Step_7_100.wav,NA,NA,Sa,1.787560e-01
44,Step_2_100.wav,NA,NA,Sha,3.178091e-01
45,Step_3_100.wav,NA,NA,Sha,1.496542e-01
46,Step_7_100.wav,NA,NA,Sa,3.475010e-01
47,Step_2_100.wav,NA,NA,Sha,1.320910e-01
