2018-4-6,14:34:34
trial,stimulus,sound1,sound2,selection,RT
1,Step_4_100.wav,NA,NA,Sha,7.462120e-01
2,Step_2_100.wav,NA,NA,Sha,2.104390e-01
3,Step_6_100.wav,NA,NA,Sha,1.704330e-01
4,Step_1_100.wav,NA,NA,Sha,7.929301e-01
5,Step_5_100.wav,NA,NA,Sha,6.483898e-01
6,Step_6_100.wav,NA,NA,Sha,4.028962e-01
7,Step_7_100.wav,NA,NA,Sha,4.337759e-01
8,Step_1_100.wav,NA,NA,Sa,2.773058e-01
9,Step_7_100.wav,NA,NA,Sha,2.836239e-01
10,Step_4_100.wav,NA,NA,Sa,4.279613e-04
11,Step_3_100.wav,NA,NA,Sa,7.992790e-01
12,Step_2_100.wav,NA,NA,Sa,5.074072e-01
13,Step_2_100.wav,NA,NA,Sa,3.051159e-01
14,Step_1_100.wav,NA,NA,Sa,3.806500e-01
15,Step_7_100.wav,NA,NA,Sha,6.181409e-01
16,Step_3_100.wav,NA,NA,Sha,4.958241e-01
17,Step_2_100.wav,NA,NA,Sha,3.375289e-01
18,Step_4_100.wav,NA,NA,Sha,3.459799e-01
19,Step_1_100.wav,NA,NA,Sha,3.627081e-01
20,Step_6_100.wav,NA,NA,Sa,3.834178e-01
21,Step_4_100.wav,NA,NA,Sha,1.651931e-01
22,Step_5_100.wav,NA,NA,Sha,4.519529e-01
23,Step_1_100.wav,NA,NA,Sa,3.160498e-01
24,Step_2_100.wav,NA,NA,Sha,6.073880e-01
25,Step_7_100.wav,NA,NA,Sa,2.608941e-01
26,Step_3_100.wav,NA,NA,Sha,2.147720e-01
27,Step_6_100.wav,NA,NA,Sa,3.908706e-02
28,Step_3_100.wav,NA,NA,Sha,5.149841e-04
29,Step_4_100.wav,NA,NA,Sa,6.270409e-04
30,Step_5_100.wav,NA,NA,Sa,3.707130e-01
31,Step_5_100.wav,NA,NA,Sha,4.404888e-01
32,Step_5_100.wav,NA,NA,Sa,6.203470e-01
33,Step_3_100.wav,NA,NA,Sha,2.300601e-01
34,Step_6_100.wav,NA,NA,Sa,1.554768e+00
35,Step_7_100.wav,NA,NA,Sa,1.931979e+00
36,Step_6_300.wav,NA,NA,Sa,2.547643e+00
37,Step_3_300.wav,NA,NA,Sha,7.212200e-01
38,Step_7_300.wav,NA,NA,Sa,1.569560e-01
39,Step_5_300.wav,NA,NA,Sa,6.660390e-01
40,Step_1_300.wav,NA,NA,Sha,1.040649e-01
41,Step_3_300.wav,NA,NA,Sha,1.558900e-02
42,Step_2_300.wav,NA,NA,Sha,8.780718e-02
43,Step_5_300.wav,NA,NA,Sa,2.019019e-01
44,Step_7_300.wav,NA,NA,Sa,2.803822e-01
45,Step_4_300.wav,NA,NA,Sha,2.165103e-02
46,Step_3_300.wav,NA,NA,Sha,5.588531e-04
47,Step_4_300.wav,NA,NA,Sha,6.589890e-04
48,Step_1_300.wav,NA,NA,Sha,4.448838e-01
49,Step_7_300.wav,NA,NA,Sa,1.836169e-01
50,Step_6_300.wav,NA,NA,Sha,6.449223e-04
51,Step_1_300.wav,NA,NA,Sha,2.448049e-01
52,Step_2_300.wav,NA,NA,Sha,1.604581e-01
53,Step_6_300.wav,NA,NA,Sa,2.855470e-01
54,Step_4_300.wav,NA,NA,Sha,2.507088e-01
55,Step_3_300.wav,NA,NA,Sha,1.467960e-01
56,Step_2_300.wav,NA,NA,Sha,4.601479e-04
57,Step_6_300.wav,NA,NA,Sa,4.292989e-02
58,Step_7_300.wav,NA,NA,Sa,2.039461e-01
59,Step_5_300.wav,NA,NA,Sha,6.330013e-04
60,Step_7_300.wav,NA,NA,Sa,4.702308e-01
61,Step_5_300.wav,NA,NA,Sa,2.737780e-01
62,Step_4_300.wav,NA,NA,Sa,3.066280e-01
63,Step_6_300.wav,NA,NA,Sa,1.688650e-01
64,Step_2_300.wav,NA,NA,Sha,1.859031e-01
65,Step_3_300.wav,NA,NA,Sha,3.597651e-01
66,Step_1_300.wav,NA,NA,Sha,5.078316e-04
67,Step_2_300.wav,NA,NA,Sa,3.150779e+00
68,Step_5_300.wav,NA,NA,Sa,5.767231e-01
69,Step_4_300.wav,NA,NA,Sa,7.633362e-01
70,Step_1_300.wav,NA,NA,Sha,4.896402e-02
71,Step_5_100.wav,NA,NA,Sa,1.235232e+00
72,Step_5_100.wav,NA,NA,Sa,1.576550e-01
73,Step_2_100.wav,NA,NA,Sha,5.120969e-01
74,Step_1_100.wav,NA,NA,Sha,1.943390e-01
75,Step_3_100.wav,NA,NA,Sha,2.420211e-01
76,Step_6_100.wav,NA,NA,Sha,2.030070e-01
77,Step_4_100.wav,NA,NA,Sha,4.228880e-01
78,Step_6_100.wav,NA,NA,Sha,3.026021e-01
79,Step_5_100.wav,NA,NA,Sha,4.051399e-01
80,Step_4_100.wav,NA,NA,Sha,4.723451e-01
81,Step_3_100.wav,NA,NA,Sha,5.608799e-01
82,Step_1_100.wav,NA,NA,Sa,2.209740e-01
83,Step_6_100.wav,NA,NA,Sa,7.251580e-01
84,Step_1_100.wav,NA,NA,Sha,1.987300e-01
85,Step_7_100.wav,NA,NA,Sa,6.060600e-04
86,Step_4_100.wav,NA,NA,Sa,4.033768e-01
87,Step_2_100.wav,NA,NA,Sha,5.898700e-01
88,Step_6_100.wav,NA,NA,Sa,5.067892e-01
89,Step_4_100.wav,NA,NA,Sa,1.686568e-01
90,Step_1_100.wav,NA,NA,Sha,3.513710e-01
91,Step_2_100.wav,NA,NA,Sha,1.036325e+00
92,Step_7_100.wav,NA,NA,Sa,3.838360e-01
93,Step_5_100.wav,NA,NA,Sa,3.338580e-01
94,Step_3_100.wav,NA,NA,Sa,1.937721e-01
95,Step_3_100.wav,NA,NA,Sa,8.136082e-02
96,Step_7_100.wav,NA,NA,Sa,2.209411e-01
97,Step_1_100.wav,NA,NA,Sha,3.297541e-01
98,Step_7_100.wav,NA,NA,Sa,7.896659e-01
99,Step_7_100.wav,NA,NA,Sa,2.850890e-01
100,Step_5_100.wav,NA,NA,Sa,6.957352e-01
101,Step_2_100.wav,NA,NA,Sha,6.483629e-01
102,Step_3_100.wav,NA,NA,Sha,3.469760e-01
103,Step_4_100.wav,NA,NA,Sha,1.636200e-01
104,Step_6_100.wav,NA,NA,Sa,5.466499e-01
105,Step_2_100.wav,NA,NA,Sha,3.699729e-01
