2018-8-1,8:3:37
trial,stimulus,sound1,sound2,selection,RT
1,Step_5_100.wav,NA,NA,Sa,7.693641e-01
2,Step_3_100.wav,NA,NA,Sa,5.847001e-01
3,Step_1_100.wav,NA,NA,Sha,3.655820e-01
4,Step_6_100.wav,NA,NA,Sa,1.766957e+00
5,Step_7_100.wav,NA,NA,Sa,1.227429e+00
6,Step_6_100.wav,NA,NA,Sa,4.815550e-01
7,Step_5_100.wav,NA,NA,Sa,2.747939e-01
8,Step_6_100.wav,NA,NA,Sa,5.131440e-01
9,Step_1_100.wav,NA,NA,Sha,3.470399e-01
10,Step_1_100.wav,NA,NA,Sha,2.435701e-01
11,Step_4_100.wav,NA,NA,Sha,7.966280e-01
12,Step_4_100.wav,NA,NA,Sha,6.324599e-01
13,Step_3_100.wav,NA,NA,Sha,2.790511e-01
14,Step_2_100.wav,NA,NA,Sha,1.532340e-01
15,Step_3_100.wav,NA,NA,Sha,7.396841e-01
16,Step_2_100.wav,NA,NA,NA,6.530285e-04
17,Step_4_100.wav,NA,NA,Sha,5.503728e-01
18,Step_4_100.wav,NA,NA,Sha,8.939412e-01
19,Step_3_100.wav,NA,NA,Sha,9.412448e-01
20,Step_5_100.wav,NA,NA,Sha,1.101281e+00
21,Step_3_100.wav,NA,NA,Sha,6.437511e-01
22,Step_1_100.wav,NA,NA,Sha,3.419290e-01
23,Step_4_100.wav,NA,NA,Sa,8.944471e-01
24,Step_7_100.wav,NA,NA,Sa,6.214280e-01
25,Step_1_100.wav,NA,NA,Sha,5.034621e-01
26,Step_2_100.wav,NA,NA,Sha,3.092551e-01
27,Step_2_100.wav,NA,NA,Sha,1.852179e-01
28,Step_7_100.wav,NA,NA,Sa,3.121781e-01
29,Step_6_100.wav,NA,NA,Sa,3.199391e-01
30,Step_5_100.wav,NA,NA,Sha,3.277941e-01
31,Step_2_100.wav,NA,NA,Sha,3.321350e-01
32,Step_6_100.wav,NA,NA,Sa,2.561271e-01
33,Step_7_100.wav,NA,NA,Sa,2.055161e-01
34,Step_7_100.wav,NA,NA,Sa,2.733240e-01
35,Step_5_100.wav,NA,NA,Sa,2.795630e-01
36,Step_5_300.wav,NA,NA,Sa,8.243370e-01
37,Step_6_300.wav,NA,NA,Sa,7.603812e-02
38,Step_5_300.wav,NA,NA,Sa,1.543541e-01
39,Step_2_300.wav,NA,NA,Sha,6.301403e-04
40,Step_5_300.wav,NA,NA,Sa,1.391790e-01
41,Step_6_300.wav,NA,NA,Sa,5.271749e-01
42,Step_3_300.wav,NA,NA,Sha,1.687081e-01
43,Step_7_300.wav,NA,NA,Sa,1.462009e-01
44,Step_1_300.wav,NA,NA,Sha,6.179810e-04
45,Step_4_300.wav,NA,NA,Sha,1.505330e-01
46,Step_3_300.wav,NA,NA,Sha,4.347801e-02
47,Step_3_300.wav,NA,NA,Sha,1.804309e-01
48,Step_2_300.wav,NA,NA,Sha,6.022670e-01
49,Step_5_300.wav,NA,NA,Sa,2.104070e-01
50,Step_6_300.wav,NA,NA,Sa,1.929140e-01
51,Step_5_300.wav,NA,NA,Sa,7.071209e-01
52,Step_4_300.wav,NA,NA,Sa,1.598256e+00
53,Step_3_300.wav,NA,NA,Sha,9.169888e-02
54,Step_2_300.wav,NA,NA,Sha,1.423130e-01
55,Step_4_300.wav,NA,NA,Sha,7.910380e-01
56,Step_2_300.wav,NA,NA,Sha,1.972201e-01
57,Step_1_300.wav,NA,NA,Sha,2.953529e-01
58,Step_7_300.wav,NA,NA,Sa,2.410240e-01
59,Step_1_300.wav,NA,NA,Sha,6.900716e-02
60,Step_2_300.wav,NA,NA,Sha,1.746430e-01
61,Step_3_300.wav,NA,NA,Sha,3.758841e-01
62,Step_7_300.wav,NA,NA,Sa,1.520870e-01
63,Step_6_300.wav,NA,NA,Sa,1.493540e-01
64,Step_4_300.wav,NA,NA,Sha,3.380010e-01
65,Step_7_300.wav,NA,NA,Sa,1.320910e+00
66,Step_4_300.wav,NA,NA,Sha,5.648170e-01
67,Step_6_300.wav,NA,NA,Sa,3.633921e-01
68,Step_7_300.wav,NA,NA,Sa,2.314749e-01
69,Step_1_300.wav,NA,NA,Sha,1.236370e-01
70,Step_1_300.wav,NA,NA,Sha,5.469661e-01
71,Step_1_100.wav,NA,NA,Sha,4.230721e-01
72,Step_4_100.wav,NA,NA,Sha,1.664960e-01
73,Step_2_100.wav,NA,NA,Sha,1.891270e-01
74,Step_5_100.wav,NA,NA,Sa,3.363450e-01
75,Step_3_100.wav,NA,NA,Sa,6.088459e-01
76,Step_3_100.wav,NA,NA,Sha,3.744190e-01
77,Step_6_100.wav,NA,NA,Sa,4.520309e-01
78,Step_4_100.wav,NA,NA,Sa,4.601769e-01
79,Step_4_100.wav,NA,NA,Sa,9.846709e-01
80,Step_1_100.wav,NA,NA,Sha,2.109621e-01
81,Step_4_100.wav,NA,NA,Sa,5.229490e-01
82,Step_5_100.wav,NA,NA,Sa,7.777259e-01
83,Step_6_100.wav,NA,NA,Sa,4.252810e-01
84,Step_3_100.wav,NA,NA,Sha,1.496360e+00
85,Step_1_100.wav,NA,NA,Sha,3.394959e-01
86,Step_1_100.wav,NA,NA,Sha,1.837091e-01
87,Step_2_100.wav,NA,NA,Sha,2.588880e-01
88,Step_2_100.wav,NA,NA,Sha,6.322639e-01
89,Step_2_100.wav,NA,NA,Sha,2.785609e-01
90,Step_1_100.wav,NA,NA,Sha,3.168030e-01
91,Step_7_100.wav,NA,NA,Sa,1.842499e-01
92,Step_7_100.wav,NA,NA,Sa,1.234350e-01
93,Step_7_100.wav,NA,NA,Sa,2.406199e-01
94,Step_5_100.wav,NA,NA,Sha,1.393538e+00
95,Step_5_100.wav,NA,NA,Sa,7.731450e-01
96,Step_2_100.wav,NA,NA,Sha,1.362951e-01
97,Step_3_100.wav,NA,NA,Sha,1.377151e-01
98,Step_5_100.wav,NA,NA,Sa,4.195011e-01
99,Step_4_100.wav,NA,NA,Sa,6.746142e-01
100,Step_6_100.wav,NA,NA,Sa,5.944879e-01
101,Step_6_100.wav,NA,NA,Sa,2.595141e-01
102,Step_7_100.wav,NA,NA,Sa,8.374839e-01
103,Step_6_100.wav,NA,NA,Sa,7.183809e-01
104,Step_3_100.wav,NA,NA,Sha,4.346085e-02
105,Step_7_100.wav,NA,NA,Sa,3.058672e-01
