2018-5-3,13:12:22
trial,stimulus,sound1,sound2,selection,RT
1,Step_4_300.wav,NA,NA,Sa,6.143711e-01
2,Step_4_300.wav,NA,NA,Sa,2.366030e-01
3,Step_7_300.wav,NA,NA,Sha,5.043011e-01
4,Step_5_300.wav,NA,NA,Sa,6.301403e-04
5,Step_1_300.wav,NA,NA,Sha,3.524060e-01
6,Step_2_300.wav,NA,NA,Sa,3.760509e-01
7,Step_7_300.wav,NA,NA,Sha,3.283441e-01
8,Step_5_300.wav,NA,NA,Sha,5.511270e-01
9,Step_6_300.wav,NA,NA,Sa,7.694061e-01
10,Step_1_300.wav,NA,NA,Sha,8.156140e-01
11,Step_1_300.wav,NA,NA,Sha,7.342882e-01
12,Step_2_300.wav,NA,NA,Sa,3.825550e-01
13,Step_2_300.wav,NA,NA,Sa,2.872851e-01
14,Step_3_300.wav,NA,NA,Sa,1.483588e-01
15,Step_5_300.wav,NA,NA,Sha,7.887740e-01
16,Step_6_300.wav,NA,NA,Sa,1.792071e-01
17,Step_7_300.wav,NA,NA,Sa,6.249402e-01
18,Step_7_300.wav,NA,NA,Sa,3.975260e-01
19,Step_6_300.wav,NA,NA,Sa,5.906889e-01
20,Step_6_300.wav,NA,NA,Sa,4.220631e-01
21,Step_3_300.wav,NA,NA,Sha,3.519840e-01
22,Step_3_300.wav,NA,NA,Sa,2.797809e-01
23,Step_2_300.wav,NA,NA,Sa,4.861808e-02
24,Step_1_300.wav,NA,NA,Sa,3.178649e-01
25,Step_3_300.wav,NA,NA,Sa,4.242620e-01
26,Step_7_300.wav,NA,NA,Sha,6.102269e-01
27,Step_5_300.wav,NA,NA,Sa,3.863809e-01
28,Step_6_300.wav,NA,NA,Sa,2.550890e-01
29,Step_3_300.wav,NA,NA,Sha,3.351500e-01
30,Step_4_300.wav,NA,NA,Sa,6.859820e-01
31,Step_5_300.wav,NA,NA,Sa,9.445388e-01
32,Step_4_300.wav,NA,NA,Sa,1.103995e+00
33,Step_1_300.wav,NA,NA,Sha,3.444631e-01
34,Step_2_300.wav,NA,NA,Sha,5.717402e-01
35,Step_4_300.wav,NA,NA,Sha,2.468729e-01
36,Step_7_100.wav,NA,NA,Sa,1.174390e-01
