2018-8-22,12:56:17
trial,stimulus,sound1,sound2,selection,RT
1,Step_3_100.wav,NA,NA,Sa,6.293788e-01
2,Step_3_100.wav,NA,NA,Sha,9.216850e-01
3,Step_2_100.wav,NA,NA,Sha,3.657768e-01
4,Step_3_100.wav,NA,NA,Sha,1.351810e-01
5,Step_7_100.wav,NA,NA,Sa,1.767411e-01
6,Step_6_100.wav,NA,NA,Sa,2.358990e-01
7,Step_4_100.wav,NA,NA,Sha,8.485007e-02
8,Step_6_100.wav,NA,NA,Sa,3.124349e-01
9,Step_7_100.wav,NA,NA,Sa,1.959450e-01
10,Step_1_100.wav,NA,NA,Sha,6.000590e-02
11,Step_1_100.wav,NA,NA,Sha,9.853077e-02
12,Step_7_100.wav,NA,NA,Sa,1.190000e-01
13,Step_1_100.wav,NA,NA,Sha,1.230192e-02
14,Step_5_100.wav,NA,NA,Sha,4.868507e-04
15,Step_4_100.wav,NA,NA,Sa,5.642644e+00
16,Step_3_100.wav,NA,NA,Sa,9.007690e-01
17,Step_4_100.wav,NA,NA,Sha,5.117910e-01
18,Step_6_100.wav,NA,NA,Sa,1.141438e-01
19,Step_5_100.wav,NA,NA,Sha,6.101131e-04
20,Step_2_100.wav,NA,NA,Sha,5.569458e-04
21,Step_2_100.wav,NA,NA,Sha,2.109504e-02
22,Step_5_100.wav,NA,NA,Sha,5.049706e-04
23,Step_2_100.wav,NA,NA,Sha,3.863248e+00
24,Step_1_100.wav,NA,NA,Sha,3.939641e-01
25,Step_1_100.wav,NA,NA,Sha,1.640370e-01
26,Step_3_100.wav,NA,NA,Sha,5.444884e-02
27,Step_6_100.wav,NA,NA,Sa,1.372080e-01
28,Step_7_100.wav,NA,NA,Sha,6.129742e-04
29,Step_7_100.wav,NA,NA,Sa,1.994014e-02
30,Step_5_100.wav,NA,NA,Sha,5.650520e-04
31,Step_5_100.wav,NA,NA,Sa,5.590916e-04
32,Step_2_100.wav,NA,NA,Sha,7.208014e-02
33,Step_4_100.wav,NA,NA,Sa,3.898144e-04
34,Step_6_100.wav,NA,NA,Sa,4.766130e-01
35,Step_4_100.wav,NA,NA,Sha,1.577439e-01
36,Step_6_300.wav,NA,NA,Sa,5.292609e-01
37,Step_2_300.wav,NA,NA,Sha,1.625428e-01
38,Step_5_300.wav,NA,NA,Sha,5.130768e-04
39,Step_2_300.wav,NA,NA,Sha,1.681290e-01
40,Step_1_300.wav,NA,NA,Sa,4.585160e+00
41,Step_6_300.wav,NA,NA,Sa,5.748150e-01
42,Step_3_300.wav,NA,NA,Sha,6.596708e-02
43,Step_4_300.wav,NA,NA,Sha,8.739584e+00
44,Step_3_300.wav,NA,NA,Sha,5.007670e-01
45,Step_7_300.wav,NA,NA,Sa,1.014450e-01
46,Step_4_300.wav,NA,NA,Sa,3.948473e+00
47,Step_7_300.wav,NA,NA,Sa,5.330091e-01
48,Step_4_300.wav,NA,NA,Sha,3.032088e-02
49,Step_6_300.wav,NA,NA,Sa,4.190922e-01
50,Step_2_300.wav,NA,NA,Sha,2.477503e-02
51,Step_6_300.wav,NA,NA,Sa,5.850792e-04
52,Step_1_300.wav,NA,NA,Sha,2.208946e+00
53,Step_1_300.wav,NA,NA,Sha,7.106209e-02
54,Step_7_300.wav,NA,NA,Sa,1.632869e+00
55,Step_3_300.wav,NA,NA,Sha,1.234021e-01
56,Step_2_300.wav,NA,NA,Sha,1.632249e-01
57,Step_2_300.wav,NA,NA,Sha,2.300476e+00
58,Step_3_300.wav,NA,NA,Sha,6.347895e-03
59,Step_1_300.wav,NA,NA,Sha,1.305833e+00
60,Step_5_300.wav,NA,NA,Sa,1.850779e-01
61,Step_7_300.wav,NA,NA,Sa,1.586020e-01
62,Step_7_300.wav,NA,NA,Sa,4.911423e-04
63,Step_5_300.wav,NA,NA,Sha,5.559921e-04
64,Step_4_300.wav,NA,NA,Sha,4.746769e+00
65,Step_4_300.wav,NA,NA,Sha,1.740320e-01
66,Step_5_300.wav,NA,NA,Sha,4.980564e-04
67,Step_6_300.wav,NA,NA,Sha,9.748936e-04
68,Step_3_300.wav,NA,NA,Sha,2.904532e-01
69,Step_1_300.wav,NA,NA,Sha,7.030964e-04
70,Step_5_300.wav,NA,NA,Sa,2.071997e+00
71,Step_3_100.wav,NA,NA,Sha,6.057258e-01
72,Step_7_100.wav,NA,NA,Sa,2.913671e-01
73,Step_2_100.wav,NA,NA,Sha,1.063080e-01
74,Step_3_100.wav,NA,NA,Sha,1.550870e-01
75,Step_7_100.wav,NA,NA,Sa,4.141331e-04
76,Step_5_100.wav,NA,NA,Sha,4.570484e-04
77,Step_1_100.wav,NA,NA,Sha,4.181862e-04
78,Step_2_100.wav,NA,NA,Sha,1.759580e+00
79,Step_5_100.wav,NA,NA,Sa,2.802911e-01
80,Step_6_100.wav,NA,NA,Sha,3.139973e-04
81,Step_5_100.wav,NA,NA,Sa,6.952760e-01
82,Step_6_100.wav,NA,NA,Sa,4.561231e-01
83,Step_2_100.wav,NA,NA,Sha,2.768211e-01
84,Step_4_100.wav,NA,NA,Sha,2.185080e-01
85,Step_4_100.wav,NA,NA,Sha,1.470749e-01
86,Step_3_100.wav,NA,NA,Sha,7.277107e-02
87,Step_6_100.wav,NA,NA,Sa,2.602999e-01
88,Step_4_100.wav,NA,NA,Sha,6.370544e-04
89,Step_1_100.wav,NA,NA,Sha,3.960133e-04
90,Step_6_100.wav,NA,NA,Sha,5.719662e-04
91,Step_1_100.wav,NA,NA,Sa,1.421058e+00
92,Step_7_100.wav,NA,NA,Sa,7.494869e-01
93,Step_6_100.wav,NA,NA,Sa,2.638121e-01
94,Step_3_100.wav,NA,NA,Sha,2.656479e-01
95,Step_5_100.wav,NA,NA,Sa,1.475720e-01
96,Step_7_100.wav,NA,NA,Sa,2.893641e-01
97,Step_7_100.wav,NA,NA,Sa,5.637717e-02
98,Step_3_100.wav,NA,NA,Sha,1.795111e-01
99,Step_1_100.wav,NA,NA,Sha,2.145441e-01
100,Step_5_100.wav,NA,NA,Sa,2.707551e-01
101,Step_1_100.wav,NA,NA,Sha,1.010599e-01
102,Step_2_100.wav,NA,NA,Sha,1.855671e-01
103,Step_4_100.wav,NA,NA,Sha,1.247010e-01
104,Step_4_100.wav,NA,NA,Sha,5.783319e-02
105,Step_2_100.wav,NA,NA,Sha,2.204192e+00
