2018-3-12,11:2:47
trial,stimulus,sound1,sound2,selection,RT
1,Step_1_300.wav,NA,NA,Sha,1.015327e+00
2,Step_7_300.wav,NA,NA,Sa,1.099620e-01
3,Step_6_300.wav,NA,NA,Sa,2.409170e-01
4,Step_1_300.wav,NA,NA,Sha,6.125522e-01
5,Step_6_300.wav,NA,NA,Sa,1.660750e+00
6,Step_1_300.wav,NA,NA,Sha,6.485009e-01
7,Step_5_300.wav,NA,NA,Sa,5.481243e-04
8,Step_3_300.wav,NA,NA,Sha,9.051850e-01
9,Step_4_300.wav,NA,NA,Sa,1.911120e-01
10,Step_3_300.wav,NA,NA,Sha,2.334762e-01
11,Step_2_300.wav,NA,NA,Sha,8.209281e-01
12,Step_7_300.wav,NA,NA,Sa,3.481159e-01
13,Step_2_300.wav,NA,NA,Sha,3.436189e-01
14,Step_7_300.wav,NA,NA,Sa,1.122497e+00
15,Step_4_300.wav,NA,NA,Sha,4.358130e-01
16,Step_5_300.wav,NA,NA,Sa,2.282130e+00
17,Step_6_300.wav,NA,NA,Sa,6.265271e-01
18,Step_4_300.wav,NA,NA,Sha,2.630281e-01
19,Step_7_300.wav,NA,NA,Sa,1.171499e+00
20,Step_6_300.wav,NA,NA,Sa,1.446666e+00
21,Step_2_300.wav,NA,NA,Sha,3.785801e-01
22,Step_4_300.wav,NA,NA,Sha,3.427011e+00
23,Step_5_300.wav,NA,NA,Sa,4.976530e-01
24,Step_3_300.wav,NA,NA,Sha,8.860540e-01
25,Step_6_300.wav,NA,NA,Sa,4.393079e-01
26,Step_3_300.wav,NA,NA,Sha,2.622669e-01
27,Step_5_300.wav,NA,NA,Sa,3.224080e-01
28,Step_1_300.wav,NA,NA,Sha,2.345193e+00
29,Step_4_300.wav,NA,NA,Sha,1.495349e+00
30,Step_5_300.wav,NA,NA,Sa,3.695121e-01
31,Step_1_300.wav,NA,NA,Sha,4.374399e-01
32,Step_2_300.wav,NA,NA,Sha,3.876431e-01
33,Step_2_300.wav,NA,NA,Sha,4.279141e-01
34,Step_7_300.wav,NA,NA,Sa,6.197906e-02
35,Step_3_300.wav,NA,NA,Sha,3.233621e-01
36,Step_3_100.wav,NA,NA,Sha,9.285662e-01
37,Step_2_100.wav,NA,NA,Sha,5.166101e-01
38,Step_6_100.wav,NA,NA,Sa,4.231591e-01
39,Step_4_100.wav,NA,NA,Sha,1.424420e-01
40,Step_2_100.wav,NA,NA,Sha,1.764220e+00
41,Step_7_100.wav,NA,NA,Sa,3.963490e-01
42,Step_5_100.wav,NA,NA,Sa,2.749040e-01
43,Step_1_100.wav,NA,NA,Sha,3.131201e-01
44,Step_5_100.wav,NA,NA,Sa,4.445360e-01
45,Step_6_100.wav,NA,NA,Sa,6.403069e-01
46,Step_1_100.wav,NA,NA,Sha,4.988711e-01
47,Step_4_100.wav,NA,NA,Sa,4.767439e-01
48,Step_7_100.wav,NA,NA,Sa,1.077341e+00
49,Step_2_100.wav,NA,NA,Sha,4.708679e-01
50,Step_5_100.wav,NA,NA,Sa,2.847860e+00
51,Step_7_100.wav,NA,NA,Sa,1.700463e+00
52,Step_7_100.wav,NA,NA,Sa,6.628320e-01
53,Step_3_100.wav,NA,NA,Sha,2.582669e-01
54,Step_3_100.wav,NA,NA,Sha,1.960669e-01
55,Step_6_100.wav,NA,NA,Sa,4.241910e-01
56,Step_7_100.wav,NA,NA,Sha,2.872310e-01
57,Step_1_100.wav,NA,NA,Sa,1.462879e-01
58,Step_3_100.wav,NA,NA,Sha,1.399766e+00
59,Step_5_100.wav,NA,NA,Sa,8.000848e-01
60,Step_6_100.wav,NA,NA,Sa,7.440519e-01
61,Step_4_100.wav,NA,NA,Sha,3.818700e-01
62,Step_1_100.wav,NA,NA,Sha,1.083784e+00
63,Step_1_100.wav,NA,NA,Sha,7.208390e-01
64,Step_3_100.wav,NA,NA,Sha,6.100881e-01
65,Step_6_100.wav,NA,NA,Sa,3.277609e-01
66,Step_5_100.wav,NA,NA,Sa,1.798110e-01
67,Step_2_100.wav,NA,NA,Sa,1.993101e-01
68,Step_4_100.wav,NA,NA,Sha,1.308329e-01
69,Step_4_100.wav,NA,NA,Sha,1.024055e+00
70,Step_2_100.wav,NA,NA,Sha,1.155675e+00
71,Step_4_300.wav,NA,NA,Sha,8.707030e-01
72,Step_7_300.wav,NA,NA,Sa,5.569458e-04
73,Step_5_300.wav,NA,NA,Sa,6.070921e-01
74,Step_6_300.wav,NA,NA,Sa,2.346978e-01
75,Step_3_300.wav,NA,NA,Sha,6.944590e-01
76,Step_3_300.wav,NA,NA,Sha,4.933510e-01
77,Step_7_300.wav,NA,NA,Sa,7.695329e-01
78,Step_5_300.wav,NA,NA,Sha,7.752178e-01
79,Step_4_300.wav,NA,NA,Sa,1.132725e+00
80,Step_7_300.wav,NA,NA,Sha,1.122437e+00
81,Step_6_300.wav,NA,NA,Sa,1.811790e+00
82,Step_2_300.wav,NA,NA,Sha,1.396633e+00
83,Step_5_300.wav,NA,NA,Sa,3.911328e-01
84,Step_2_300.wav,NA,NA,Sha,6.679978e-01
85,Step_4_300.wav,NA,NA,Sa,2.500560e-01
86,Step_3_300.wav,NA,NA,Sha,3.466139e-01
87,Step_1_300.wav,NA,NA,Sha,5.537729e-01
88,Step_7_300.wav,NA,NA,Sha,1.060050e+00
89,Step_6_300.wav,NA,NA,Sa,4.234240e-01
90,Step_1_300.wav,NA,NA,Sa,1.785274e+00
91,Step_1_300.wav,NA,NA,Sha,2.388891e+00
92,Step_6_300.wav,NA,NA,Sa,1.486690e-01
93,Step_3_300.wav,NA,NA,Sha,2.052588e-01
94,Step_5_300.wav,NA,NA,Sa,6.517231e-01
95,Step_1_300.wav,NA,NA,Sha,4.454801e-01
96,Step_3_300.wav,NA,NA,Sha,4.081562e-01
97,Step_4_300.wav,NA,NA,Sha,3.977361e-01
98,Step_2_300.wav,NA,NA,Sha,3.544281e-01
99,Step_6_300.wav,NA,NA,Sa,2.820489e-01
100,Step_2_300.wav,NA,NA,Sha,1.071382e+00
101,Step_7_300.wav,NA,NA,Sa,4.230001e-01
102,Step_1_300.wav,NA,NA,Sha,1.449759e-01
103,Step_4_300.wav,NA,NA,Sha,1.393483e+00
104,Step_2_300.wav,NA,NA,Sha,1.359820e+00
105,Step_5_300.wav,NA,NA,Sa,1.117363e+00
