2018-3-13,13:10:17
trial,stimulus,sound1,sound2,selection,RT
1,Step_3_300.wav,NA,NA,Sha,4.375111e+00
2,Step_4_300.wav,NA,NA,Sha,2.530399e+00
3,Step_7_300.wav,NA,NA,Sha,4.799366e-04
4,Step_5_300.wav,NA,NA,Sa,1.378559e+00
5,Step_6_300.wav,NA,NA,Sha,1.012457e+00
6,Step_1_300.wav,NA,NA,Sha,7.822089e-01
7,Step_3_300.wav,NA,NA,Sha,5.371571e-04
8,Step_1_300.wav,NA,NA,Sha,5.381107e-04
9,Step_4_300.wav,NA,NA,Sa,4.247352e+00
10,Step_2_300.wav,NA,NA,Sha,6.189526e+00
11,Step_6_300.wav,NA,NA,Sa,7.677287e+00
12,Step_6_300.wav,NA,NA,Sa,4.971027e-04
13,Step_2_300.wav,NA,NA,Sa,5.958080e-04
14,Step_5_300.wav,NA,NA,Sha,2.610323e+00
15,Step_6_300.wav,NA,NA,Sa,7.176042e-01
16,Step_7_300.wav,NA,NA,Sa,2.093394e+00
17,Step_6_300.wav,NA,NA,Sa,2.335284e+00
18,Step_3_300.wav,NA,NA,Sa,5.738735e-04
19,Step_1_300.wav,NA,NA,Sha,1.180984e+00
20,Step_2_300.wav,NA,NA,Sha,1.356573e+00
21,Step_5_300.wav,NA,NA,Sha,1.357606e+00
22,Step_4_300.wav,NA,NA,Sa,4.677510e-02
23,Step_7_300.wav,NA,NA,Sa,3.800721e-01
24,Step_4_300.wav,NA,NA,Sha,3.207352e-01
25,Step_7_300.wav,NA,NA,Sha,1.411105e+00
26,Step_7_300.wav,NA,NA,Sa,2.394441e+00
27,Step_1_300.wav,NA,NA,Sha,8.225288e-01
28,Step_3_300.wav,NA,NA,Sha,9.977162e-01
29,Step_2_300.wav,NA,NA,Sa,4.974777e+00
30,Step_3_300.wav,NA,NA,Sa,2.273512e+00
31,Step_5_300.wav,NA,NA,Sa,5.300045e-04
32,Step_1_300.wav,NA,NA,Sa,5.300045e-04
