2018-3-14,10:15:16
trial,stimulus,sound1,sound2,selection,RT
1,Step_1_100.wav,NA,NA,Sa,5.270958e-03
2,Step_4_100.wav,NA,NA,Sa,6.201267e-04
3,Step_3_100.wav,NA,NA,Sa,8.540154e-04
4,Step_4_100.wav,NA,NA,Sa,6.148815e-04
5,Step_5_100.wav,NA,NA,Sa,9.758472e-04
6,Step_5_100.wav,NA,NA,Sa,4.689693e-04
7,Step_2_100.wav,NA,NA,Sa,4.830360e-04
8,Step_6_100.wav,NA,NA,Sa,5.371571e-04
9,Step_2_100.wav,NA,NA,Sa,5.469322e-04
10,Step_4_100.wav,NA,NA,Sa,5.359650e-04
11,Step_3_100.wav,NA,NA,Sa,5.328655e-04
12,Step_1_100.wav,NA,NA,Sa,4.999638e-04
13,Step_2_100.wav,NA,NA,Sa,5.359650e-04
14,Step_1_100.wav,NA,NA,Sa,1.230240e-04
15,Step_7_100.wav,NA,NA,Sa,5.359650e-04
16,Step_7_100.wav,NA,NA,Sa,5.240440e-04
17,Step_5_100.wav,NA,NA,Sa,5.609989e-04
18,Step_4_100.wav,NA,NA,Sa,5.609989e-04
19,Step_6_100.wav,NA,NA,Sa,5.378723e-04
20,Step_2_100.wav,NA,NA,Sa,4.978180e-04
21,Step_3_100.wav,NA,NA,Sa,4.839897e-04
22,Step_6_100.wav,NA,NA,Sa,5.400181e-04
23,Step_6_100.wav,NA,NA,Sa,5.338192e-04
24,Step_2_100.wav,NA,NA,Sa,4.408360e-04
25,Step_6_100.wav,NA,NA,Sa,5.209446e-04
26,Step_3_100.wav,NA,NA,Sa,4.630089e-04
27,Step_1_100.wav,NA,NA,Sa,5.171299e-04
28,Step_7_100.wav,NA,NA,Sa,4.680157e-04
29,Step_7_100.wav,NA,NA,Sa,5.419254e-04
30,Step_1_100.wav,NA,NA,Sa,5.400181e-04
31,Step_5_100.wav,NA,NA,Sa,5.180836e-04
32,Step_5_100.wav,NA,NA,Sa,4.251003e-04
33,Step_4_100.wav,NA,NA,Sa,2.799034e-04
34,Step_7_100.wav,NA,NA,Sa,4.889965e-04
35,Step_3_100.wav,NA,NA,Sa,5.218983e-04
36,Step_2_300.wav,NA,NA,Sa,4.289150e-04
37,Step_6_300.wav,NA,NA,Sa,7.629395e-04
38,Step_6_300.wav,NA,NA,Sa,7.400513e-04
39,Step_5_300.wav,NA,NA,Sa,7.090569e-04
40,Step_1_300.wav,NA,NA,Sa,8.850098e-04
41,Step_6_300.wav,NA,NA,Sa,4.761219e-04
42,Step_2_300.wav,NA,NA,Sa,3.399849e-04
43,Step_3_300.wav,NA,NA,Sa,3.499985e-04
44,Step_7_300.wav,NA,NA,Sa,5.130768e-04
45,Step_3_300.wav,NA,NA,Sa,5.459785e-04
46,Step_5_300.wav,NA,NA,Sa,5.440712e-04
47,Step_3_300.wav,NA,NA,Sa,5.450249e-04
48,Step_1_300.wav,NA,NA,Sa,5.300045e-04
49,Step_4_300.wav,NA,NA,Sa,5.190372e-04
50,Step_2_300.wav,NA,NA,Sa,4.179478e-04
51,Step_4_300.wav,NA,NA,Sa,4.439354e-04
52,Step_7_300.wav,NA,NA,Sa,5.509853e-04
53,Step_6_300.wav,NA,NA,Sa,5.660057e-04
54,Step_2_300.wav,NA,NA,Sa,5.409718e-04
55,Step_6_300.wav,NA,NA,Sa,3.528595e-04
56,Step_7_300.wav,NA,NA,Sa,5.500317e-04
57,Step_7_300.wav,NA,NA,Sa,5.190372e-04
58,Step_5_300.wav,NA,NA,Sa,4.789829e-04
59,Step_1_300.wav,NA,NA,Sa,5.710125e-04
60,Step_1_300.wav,NA,NA,Sa,5.168915e-04
61,Step_2_300.wav,NA,NA,Sa,4.639626e-04
62,Step_4_300.wav,NA,NA,Sa,5.221367e-04
63,Step_5_300.wav,NA,NA,Sa,5.199909e-04
64,Step_1_300.wav,NA,NA,Sa,2.651215e-04
65,Step_3_300.wav,NA,NA,Sa,3.209114e-04
66,Step_3_300.wav,NA,NA,Sa,4.489422e-04
67,Step_4_300.wav,NA,NA,Sa,3.619194e-04
68,Step_7_300.wav,NA,NA,Sa,5.180836e-04
69,Step_4_300.wav,NA,NA,Sa,5.280972e-04
70,Step_5_300.wav,NA,NA,Sa,4.470348e-04
71,Step_4_100.wav,NA,NA,Sa,6.911755e-04
72,Step_2_100.wav,NA,NA,Sa,6.461143e-04
73,Step_5_100.wav,NA,NA,Sa,8.988380e-04
74,Step_4_100.wav,NA,NA,Sa,4.990101e-04
75,Step_5_100.wav,NA,NA,Sa,8.330345e-04
76,Step_2_100.wav,NA,NA,Sa,3.011227e-04
77,Step_3_100.wav,NA,NA,Sa,3.218651e-04
78,Step_4_100.wav,NA,NA,Sa,5.400181e-04
79,Step_5_100.wav,NA,NA,Sa,5.350113e-04
80,Step_3_100.wav,NA,NA,Sa,4.920959e-04
81,Step_2_100.wav,NA,NA,Sa,5.970001e-04
82,Step_6_100.wav,NA,NA,Sa,5.500317e-04
83,Step_6_100.wav,NA,NA,Sa,5.340576e-04
84,Step_2_100.wav,NA,NA,Sa,5.180836e-04
85,Step_7_100.wav,NA,NA,Sa,5.378723e-04
86,Step_5_100.wav,NA,NA,Sa,5.159378e-04
87,Step_1_100.wav,NA,NA,Sa,5.500317e-04
88,Step_6_100.wav,NA,NA,Sa,5.807877e-04
89,Step_2_100.wav,NA,NA,Sa,5.369186e-04
90,Step_3_100.wav,NA,NA,Sa,5.528927e-04
91,Step_1_100.wav,NA,NA,Sa,3.418922e-04
92,Step_7_100.wav,NA,NA,Sa,5.419254e-04
93,Step_1_100.wav,NA,NA,Sa,5.359650e-04
94,Step_6_100.wav,NA,NA,Sa,5.071163e-04
95,Step_3_100.wav,NA,NA,Sa,5.199909e-04
96,Step_5_100.wav,NA,NA,Sa,5.228519e-04
97,Step_1_100.wav,NA,NA,Sa,4.920959e-04
98,Step_1_100.wav,NA,NA,Sa,3.290176e-04
99,Step_4_100.wav,NA,NA,Sa,3.530979e-04
100,Step_3_100.wav,NA,NA,Sa,5.249977e-04
101,Step_7_100.wav,NA,NA,Sa,5.278587e-04
102,Step_6_100.wav,NA,NA,Sa,5.309582e-04
103,Step_4_100.wav,NA,NA,Sa,5.037785e-04
