2018-3-14,9:30:15
trial,stimulus,sound1,sound2,selection,RT
1,Step_6_100.wav,NA,NA,Sa,1.310060e-01
2,Step_3_100.wav,NA,NA,Sa,4.370213e-04
3,Step_4_100.wav,NA,NA,Sa,2.210140e-04
4,Step_5_100.wav,NA,NA,Sa,3.569126e-04
5,Step_1_100.wav,NA,NA,Sa,4.148483e-04
6,Step_7_100.wav,NA,NA,Sa,2.021790e-04
7,Step_6_100.wav,NA,NA,Sa,2.710819e-04
8,Step_1_100.wav,NA,NA,Sa,4.639626e-04
9,Step_4_100.wav,NA,NA,Sa,4.689693e-04
10,Step_7_100.wav,NA,NA,Sa,3.950596e-04
11,Step_2_100.wav,NA,NA,Sa,4.379749e-04
12,Step_4_100.wav,NA,NA,Sa,5.431175e-04
13,Step_5_100.wav,NA,NA,Sa,3.619194e-04
14,Step_1_100.wav,NA,NA,Sa,4.510880e-04
15,Step_4_100.wav,NA,NA,Sa,4.730225e-04
16,Step_6_100.wav,NA,NA,Sa,4.661083e-04
17,Step_2_100.wav,NA,NA,Sa,4.539490e-04
18,Step_4_100.wav,NA,NA,Sa,5.030632e-04
19,Step_7_100.wav,NA,NA,Sa,4.839897e-04
20,Step_6_100.wav,NA,NA,Sa,4.999638e-04
21,Step_1_100.wav,NA,NA,Sa,3.449917e-04
22,Step_6_100.wav,NA,NA,Sa,4.448891e-04
23,Step_3_100.wav,NA,NA,Sa,4.689693e-04
24,Step_3_100.wav,NA,NA,Sa,5.030632e-04
25,Step_3_100.wav,NA,NA,Sa,5.149841e-04
26,Step_2_100.wav,NA,NA,Sa,5.121231e-04
27,Step_7_100.wav,NA,NA,Sa,4.949570e-04
28,Step_2_100.wav,NA,NA,Sa,5.431175e-04
29,Step_3_100.wav,NA,NA,Sa,4.799366e-04
30,Step_5_100.wav,NA,NA,Sa,2.901554e-04
31,Step_5_100.wav,NA,NA,Sa,4.677773e-04
32,Step_1_100.wav,NA,NA,Sa,4.298687e-04
33,Step_5_100.wav,NA,NA,Sa,5.128384e-04
34,Step_7_100.wav,NA,NA,Sa,4.198551e-04
35,Step_2_100.wav,NA,NA,Sa,4.439354e-04
36,Step_2_300.wav,NA,NA,Sa,4.549026e-04
37,Step_6_300.wav,NA,NA,Sa,4.339218e-04
38,Step_5_300.wav,NA,NA,Sa,5.130768e-04
39,Step_3_300.wav,NA,NA,Sa,5.381107e-04
40,Step_7_300.wav,NA,NA,Sa,4.630089e-04
41,Step_2_300.wav,NA,NA,Sa,4.510880e-04
42,Step_4_300.wav,NA,NA,Sa,2.968311e-04
43,Step_7_300.wav,NA,NA,Sa,6.430149e-04
44,Step_5_300.wav,NA,NA,Sa,5.180836e-04
45,Step_1_300.wav,NA,NA,Sa,4.601479e-04
46,Step_7_300.wav,NA,NA,Sa,4.901886e-04
47,Step_6_300.wav,NA,NA,Sa,3.609657e-04
48,Step_5_300.wav,NA,NA,Sa,5.269051e-04
49,Step_2_300.wav,NA,NA,Sa,4.529953e-04
50,Step_3_300.wav,NA,NA,Sa,4.689693e-04
51,Step_7_300.wav,NA,NA,Sa,6.449223e-04
52,Step_1_300.wav,NA,NA,Sa,2.620220e-04
53,Step_7_300.wav,NA,NA,Sa,4.618168e-04
54,Step_3_300.wav,NA,NA,Sa,4.620552e-04
55,Step_4_300.wav,NA,NA,Sa,3.981590e-04
56,Step_6_300.wav,NA,NA,Sa,5.819798e-04
57,Step_5_300.wav,NA,NA,Sa,4.351139e-04
58,Step_2_300.wav,NA,NA,Sa,4.611015e-04
59,Step_6_300.wav,NA,NA,Sa,3.259182e-04
60,Step_2_300.wav,NA,NA,Sa,4.498959e-04
61,Step_4_300.wav,NA,NA,Sa,3.249645e-04
62,Step_1_300.wav,NA,NA,Sa,4.749298e-04
63,Step_1_300.wav,NA,NA,Sa,3.271103e-04
64,Step_5_300.wav,NA,NA,Sa,4.849434e-04
65,Step_3_300.wav,NA,NA,Sa,3.011227e-04
66,Step_4_300.wav,NA,NA,Sa,5.528927e-04
67,Step_3_300.wav,NA,NA,Sa,5.140305e-04
68,Step_4_300.wav,NA,NA,Sa,3.781319e-04
69,Step_6_300.wav,NA,NA,Sa,5.109310e-04
70,Step_1_300.wav,NA,NA,Sa,5.199909e-04
71,Step_7_100.wav,NA,NA,Sa,4.510880e-04
72,Step_1_100.wav,NA,NA,Sa,5.080700e-04
73,Step_2_100.wav,NA,NA,Sa,4.649162e-04
74,Step_7_100.wav,NA,NA,Sa,3.259182e-04
75,Step_3_100.wav,NA,NA,Sa,2.818108e-04
76,Step_5_100.wav,NA,NA,Sa,2.331734e-04
77,Step_2_100.wav,NA,NA,Sa,4.041195e-04
78,Step_2_100.wav,NA,NA,Sa,2.889633e-04
79,Step_4_100.wav,NA,NA,Sa,5.209446e-04
80,Step_5_100.wav,NA,NA,Sa,3.089905e-04
81,Step_6_100.wav,NA,NA,Sa,5.331039e-04
82,Step_4_100.wav,NA,NA,Sa,4.570484e-04
83,Step_1_100.wav,NA,NA,Sa,5.099773e-04
84,Step_3_100.wav,NA,NA,Sa,4.880428e-04
85,Step_5_100.wav,NA,NA,Sa,5.121231e-04
86,Step_4_100.wav,NA,NA,Sa,5.109310e-04
87,Step_4_100.wav,NA,NA,Sa,5.180836e-04
88,Step_3_100.wav,NA,NA,Sa,3.871918e-04
89,Step_6_100.wav,NA,NA,Sa,4.370213e-04
90,Step_7_100.wav,NA,NA,Sa,2.729893e-04
91,Step_6_100.wav,NA,NA,Sa,4.308224e-04
92,Step_3_100.wav,NA,NA,Sa,4.401207e-04
93,Step_1_100.wav,NA,NA,Sa,4.289150e-04
94,Step_4_100.wav,NA,NA,Sa,3.190041e-04
95,Step_1_100.wav,NA,NA,Sa,5.149841e-04
96,Step_2_100.wav,NA,NA,Sa,4.639626e-04
97,Step_7_100.wav,NA,NA,Sa,4.308224e-04
98,Step_2_100.wav,NA,NA,Sa,4.708767e-04
99,Step_7_100.wav,NA,NA,Sa,4.599094e-04
100,Step_6_100.wav,NA,NA,Sa,5.130768e-04
101,Step_1_100.wav,NA,NA,Sa,5.071163e-04
102,Step_6_100.wav,NA,NA,Sa,4.429817e-04
103,Step_5_100.wav,NA,NA,Sa,4.649162e-04
104,Step_5_100.wav,NA,NA,Sa,4.589558e-04
105,Step_3_100.wav,NA,NA,Sa,4.370213e-04
