2018-3-14,10:3:41
trial,stimulus,sound1,sound2,selection,RT
1,Step_4_100.wav,NA,NA,Sa,3.403149e-01
2,Step_6_100.wav,NA,NA,Sa,8.721352e-04
3,Step_4_100.wav,NA,NA,Sa,5.609989e-04
4,Step_3_100.wav,NA,NA,Sa,5.080700e-04
5,Step_4_100.wav,NA,NA,Sa,7.719994e-04
6,Step_1_100.wav,NA,NA,Sa,1.718998e-04
7,Step_1_100.wav,NA,NA,Sa,5.209446e-04
8,Step_2_100.wav,NA,NA,Sa,4.739761e-04
9,Step_6_100.wav,NA,NA,Sa,5.071163e-04
10,Step_7_100.wav,NA,NA,Sa,4.539490e-04
11,Step_5_100.wav,NA,NA,Sa,5.369186e-04
12,Step_3_100.wav,NA,NA,Sa,4.100800e-04
13,Step_5_100.wav,NA,NA,Sa,5.340576e-04
14,Step_4_100.wav,NA,NA,Sa,5.240440e-04
15,Step_5_100.wav,NA,NA,Sa,5.199909e-04
16,Step_1_100.wav,NA,NA,Sa,5.280972e-04
17,Step_6_100.wav,NA,NA,Sa,5.049706e-04
18,Step_2_100.wav,NA,NA,Sa,4.360676e-04
19,Step_2_100.wav,NA,NA,Sa,2.510548e-04
20,Step_2_100.wav,NA,NA,Sa,3.459454e-04
21,Step_4_100.wav,NA,NA,Sa,5.359650e-04
22,Step_3_100.wav,NA,NA,Sa,5.218983e-04
23,Step_3_100.wav,NA,NA,Sa,1.640320e-04
24,Step_6_100.wav,NA,NA,Sa,5.681515e-04
25,Step_7_100.wav,NA,NA,Sa,3.819466e-04
26,Step_7_100.wav,NA,NA,Sa,4.611015e-04
27,Step_7_100.wav,NA,NA,Sa,2.789497e-04
28,Step_7_100.wav,NA,NA,Sa,5.209446e-04
29,Step_1_100.wav,NA,NA,Sa,4.978180e-04
30,Step_3_100.wav,NA,NA,Sa,4.789829e-04
31,Step_6_100.wav,NA,NA,Sa,4.630089e-04
32,Step_2_100.wav,NA,NA,Sa,5.199909e-04
33,Step_1_100.wav,NA,NA,Sa,5.130768e-04
34,Step_5_100.wav,NA,NA,Sa,2.729893e-04
35,Step_5_100.wav,NA,NA,Sa,5.230904e-04
36,Step_2_300.wav,NA,NA,Sa,4.909039e-04
37,Step_5_300.wav,NA,NA,Sa,6.430149e-04
38,Step_6_300.wav,NA,NA,Sa,8.890629e-04
39,Step_2_300.wav,NA,NA,Sa,3.428459e-04
40,Step_4_300.wav,NA,NA,Sa,9.479523e-04
41,Step_5_300.wav,NA,NA,Sa,5.238056e-04
42,Step_7_300.wav,NA,NA,Sa,3.437996e-04
43,Step_3_300.wav,NA,NA,Sa,2.551079e-04
44,Step_1_300.wav,NA,NA,Sa,5.340576e-04
45,Step_6_300.wav,NA,NA,Sa,4.680157e-04
46,Step_3_300.wav,NA,NA,Sa,4.680157e-04
47,Step_2_300.wav,NA,NA,Sa,4.990101e-04
48,Step_4_300.wav,NA,NA,Sa,2.670288e-04
49,Step_5_300.wav,NA,NA,Sa,5.180836e-04
50,Step_6_300.wav,NA,NA,Sa,5.090237e-04
51,Step_7_300.wav,NA,NA,Sa,5.218983e-04
